osm_id,voltage_kv,voltage_tier,cables,circuits,operator,name,num_nodes,length_km
1158319152,115.0,115-229 kV,3,,National Grid,,2,0.01
1158328358,115.0,115-229 kV,3,,National Grid,,2,0.01
1158328359,345.0,345-499 kV,3,,National Grid,,6,0.08
1158328360,115.0,115-229 kV,3,,National Grid,,5,0.05
1158328361,115.0,115-229 kV,3,,National Grid,,5,0.05
1158328362,115.0,115-229 kV,3,,National Grid,,3,0.05
1158328363,115.0,115-229 kV,3,,National Grid,,3,0.02
1158328364,115.0,115-229 kV,3,,National Grid,,5,0.04
1158328365,115.0,115-229 kV,3,,National Grid,,3,0.03
1158340947,115.0,115-229 kV,3,,National Grid,Harriman - French King - Barre - Treasure Valley - Millbury 115kV transmission line,2,0.02
1159295637,138.0,115-229 kV,6,,Long Island Power Authority,,4,0.5
1159295638,138.0,115-229 kV,6,,Long Island Power Authority,,2,0.24
1159295639,138.0,115-229 kV,6,,Long Island Power Authority,Holbrook - Ruland Road 138 kV Transmission Line,5,0.44
1159295640,138.0,115-229 kV,6,,Long Island Power Authority,Holbrook - Ruland Road 138 kV Transmission Line,2,0.24
1162320346,230.0,230-344 kV,9,3,Jersey Central Power and Light,Stoney Brook Tap to Morristown,11,1.42
1162334241,115.0,115-229 kV,3,,Eversource,,6,0.1
1162334242,115.0,115-229 kV,3,,Eversource,,2,0.01
1162334243,115.0,115-229 kV,3,,Eversource,,5,0.07
1162334244,115.0,115-229 kV,3,,Eversource,,2,0.01
1162334245,115.0,115-229 kV,3,,Eversource,,4,0.04
1162334248,115.0,115-229 kV,3,,Eversource,,3,0.02
1162337896,115.0,115-229 kV,3,1,Eversource,,15,0.19
1162337897,115.0,115-229 kV,3,1,Eversource,,22,0.26
1162337898,115.0,115-229 kV,3,1,Eversource,,2,0.01
1162337899,115.0,115-229 kV,3,1,Eversource,,7,0.05
1162337900,115.0,115-229 kV,3,1,Eversource,,7,0.05
1162337901,115.0,115-229 kV,3,1,Eversource,,7,0.05
1162337902,115.0,115-229 kV,3,1,Eversource,,7,0.05
1162337903,345.0,345-499 kV,3,1,Eversource,,8,0.12
1162337904,345.0,345-499 kV,3,1,Eversource,,3,0.04
1162337905,345.0,345-499 kV,3,1,Eversource,,3,0.04
1163442889,115.0,115-229 kV,3,,Eversource,,6,0.06
1163442890,115.0,115-229 kV,3,,Eversource,,3,0.03
1163442891,115.0,115-229 kV,3,,Eversource,,3,0.03
1163442892,115.0,115-229 kV,3,,Eversource,,2,0.01
1163442893,115.0,115-229 kV,3,,Eversource,,2,0.01
1163442894,115.0,115-229 kV,3,,Eversource,,10,0.07
1163442895,115.0,115-229 kV,3,,Eversource,,4,0.02
1163442896,115.0,115-229 kV,3,,Eversource,,4,0.03
1163442897,115.0,115-229 kV,3,,Eversource,,3,0.01
1163442898,115.0,115-229 kV,3,,Eversource,,4,0.02
1163442899,115.0,115-229 kV,3,,Eversource,,6,0.06
1163442900,115.0,115-229 kV,3,,Eversource,,3,0.01
1163442901,115.0,115-229 kV,3,,Eversource,,2,0.01
1163442902,115.0,115-229 kV,3,,Eversource,,3,0.02
1163442903,115.0,115-229 kV,3,,Eversource,,3,0.02
1163442904,115.0,115-229 kV,3,,Eversource,,3,0.01
1163442905,345.0,345-499 kV,3,,Eversource,,21,0.46
1163442906,345.0,345-499 kV,3,,Eversource,,2,0.04
1163442907,345.0,345-499 kV,3,,Eversource,,7,0.11
1163442908,345.0,345-499 kV,3,,Eversource,,6,0.11
1163442909,115.0,115-229 kV,3,,Eversource,,3,0.03
1163442910,115.0,115-229 kV,3,,Eversource,,3,0.03
1163442911,115.0,115-229 kV,3,,Eversource,,3,0.02
1163450563,115.0,115-229 kV,3,,Eversource,,3,0.02
1163450564,115.0,115-229 kV,3,,Eversource,,3,0.02
1163450565,115.0,115-229 kV,3,,Eversource,,4,0.02
1163450566,115.0,115-229 kV,3,,Eversource,,2,0.01
1163450567,115.0,115-229 kV,3,,Eversource,,5,0.02
1163450568,115.0,115-229 kV,3,,Eversource,,26,0.26
1163450569,115.0,115-229 kV,3,,Eversource,,10,0.1
1163450570,115.0,115-229 kV,3,,Eversource,,2,0.01
1163450571,115.0,115-229 kV,3,,Eversource,,2,0.01
1163450572,115.0,115-229 kV,3,,Eversource,,2,0.01
1163450578,115.0,115-229 kV,3,,Eversource,,7,0.08
1163450579,115.0,115-229 kV,3,,Eversource,,7,0.09
1163450580,115.0,115-229 kV,3,,Eversource,,3,0.05
1163450581,115.0,115-229 kV,3,,Eversource,,7,0.08
1163450582,115.0,115-229 kV,3,,Eversource,,4,0.03
1163450583,115.0,115-229 kV,3,,Eversource,,3,0.02
1163459656,345.0,345-499 kV,3,1,Eversource,,14,0.25
1163459657,345.0,345-499 kV,3,1,Eversource,,7,0.09
1163459658,345.0,345-499 kV,3,,Eversource,,8,0.21
1163459659,115.0,115-229 kV,3,,Eversource,,17,0.26
1163459660,115.0,115-229 kV,3,,Eversource,,10,0.09
1163459661,115.0,115-229 kV,3,,Eversource,,2,0.01
1163459662,115.0,115-229 kV,3,,Eversource,,4,0.03
1163459663,115.0,115-229 kV,3,,Eversource,,6,0.06
1163459664,115.0,115-229 kV,3,,Eversource,,5,0.04
1163459665,115.0,115-229 kV,3,,Eversource,,4,0.03
1163459666,345.0,345-499 kV,3,1,Eversource,,2,0.03
1163459667,345.0,345-499 kV,3,1,Eversource,,2,0.03
1163459668,345.0,345-499 kV,3,1,Eversource,,2,0.02
1163459669,345.0,345-499 kV,3,1,Eversource,,3,0.03
1163466834,115.0,115-229 kV,3,1,Eversource,,2,0.06
1163466835,115.0,115-229 kV,3,1,Eversource,,3,0.02
1163466836,115.0,115-229 kV,3,1,Eversource,,2,0.01
1163466837,115.0,115-229 kV,3,1,Eversource,,3,0.02
1163466838,115.0,115-229 kV,3,,Eversource,,7,0.02
1163466839,115.0,115-229 kV,3,,Eversource,,8,0.03
1163466840,115.0,115-229 kV,3,,Eversource,,8,0.03
1163466841,115.0,115-229 kV,3,,Eversource,,7,0.02
1163466842,115.0,115-229 kV,3,,Eversource,,8,0.03
1163466843,115.0,115-229 kV,3,,Eversource,,7,0.02
1163477442,345.0,345-499 kV,3,1,Eversource,,2,0.02
1163477443,115.0,115-229 kV,3,1,Eversource,,5,0.09
1163477444,115.0,115-229 kV,3,1,Eversource,,4,0.04
1163477445,115.0,115-229 kV,3,1,Eversource,,3,0.03
1163477446,115.0,115-229 kV,3,1,Eversource,,6,0.05
1163477447,115.0,115-229 kV,3,1,Eversource,,2,0.01
1163477448,115.0,115-229 kV,3,1,Eversource,,2,0.01
1163477449,115.0,115-229 kV,3,1,Eversource,,2,0.01
1163477450,115.0,115-229 kV,3,1,Eversource,,2,0.01
1163477451,115.0,115-229 kV,3,1,Eversource,,5,0.05
1163477452,115.0,115-229 kV,3,1,Eversource,,6,0.05
1163477453,115.0,115-229 kV,3,,Eversource,,7,0.05
1163477454,115.0,115-229 kV,3,,Eversource,,7,0.05
1163477455,115.0,115-229 kV,3,,Eversource,,3,0.03
1163477456,115.0,115-229 kV,3,,Eversource,,3,0.03
1163477457,115.0,115-229 kV,3,,Eversource,,3,0.02
1163477458,345.0,345-499 kV,3,,Eversource,,16,0.29
1163477459,345.0,345-499 kV,3,,Eversource,,6,0.13
1163477460,115.0,115-229 kV,3,,Eversource,,4,0.03
1163477461,115.0,115-229 kV,3,,Eversource,,3,0.03
1163477462,115.0,115-229 kV,3,,Eversource,,5,0.04
1163489753,115.0,115-229 kV,3,,Eversource,,14,0.21
1163489754,115.0,115-229 kV,3,,Eversource,,13,0.16
1163489755,115.0,115-229 kV,3,,Eversource,,2,0.04
1163489756,115.0,115-229 kV,3,,Eversource,,5,0.06
1163489757,115.0,115-229 kV,3,,Eversource,,5,0.06
1163489758,115.0,115-229 kV,3,,Eversource,,4,0.06
1163489759,115.0,115-229 kV,3,,Eversource,,7,0.09
1163489760,115.0,115-229 kV,3,,Eversource,,6,0.04
1163489761,115.0,115-229 kV,3,,Eversource,,3,0.02
1163489762,115.0,115-229 kV,3,,Eversource,,3,0.03
1163489763,115.0,115-229 kV,3,,Eversource,,3,0.03
1163489764,115.0,115-229 kV,3,,Eversource,,3,0.02
1163489765,115.0,115-229 kV,3,,Eversource,Enfield - Windsor Locks - Dexter 115kV transmission line,5,0.03
1163489766,115.0,115-229 kV,3,,Eversource,,2,0.01
1163489767,115.0,115-229 kV,3,,Eversource,,3,0.03
1163489768,115.0,115-229 kV,3,,Eversource,,5,0.02
1163489769,115.0,115-229 kV,3,,Eversource,,6,0.03
1163489770,115.0,115-229 kV,3,,Eversource,,4,0.04
1163489771,115.0,115-229 kV,3,,Eversource,,4,0.03
1163489772,115.0,115-229 kV,3,,Eversource,,5,0.04
1163489773,115.0,115-229 kV,3,,Eversource,,5,0.04
1163489774,115.0,115-229 kV,3,,Eversource,,5,0.04
1163489776,115.0,115-229 kV,3,,Eversource,,3,0.02
1163504759,115.0,115-229 kV,3,,Eversource,,8,0.07
1163504760,115.0,115-229 kV,3,,Eversource,,4,0.03
1163504761,115.0,115-229 kV,3,,Eversource,,3,0.02
1163504762,115.0,115-229 kV,3,,Eversource,,3,0.02
1163504763,115.0,115-229 kV,3,,Eversource,,9,0.09
1163504764,115.0,115-229 kV,3,,Eversource,,2,0.0
1163504765,115.0,115-229 kV,3,,Eversource,,12,0.16
1163504766,115.0,115-229 kV,3,,Eversource,,7,0.06
1163504767,115.0,115-229 kV,3,,Eversource,,6,0.08
1163504768,115.0,115-229 kV,3,,Eversource,,11,0.14
1163504769,115.0,115-229 kV,3,,Eversource,,12,0.07
1163504770,115.0,115-229 kV,3,,Eversource,,10,0.15
1163504771,115.0,115-229 kV,3,,Eversource,,3,0.01
1163504772,115.0,115-229 kV,3,,Eversource,,3,0.01
1163504773,115.0,115-229 kV,3,,Eversource,,3,0.02
1163504774,115.0,115-229 kV,3,,Eversource,,3,0.02
1163504775,115.0,115-229 kV,3,,Eversource,,3,0.05
1163504776,115.0,115-229 kV,3,,Eversource,,2,0.01
1163504777,115.0,115-229 kV,3,,Eversource,,5,0.06
1163504778,115.0,115-229 kV,3,,Eversource,,2,0.02
1163504779,115.0,115-229 kV,3,,Eversource,,2,0.02
1163509609,115.0,115-229 kV,3,,Eversource,,7,0.09
1163509610,115.0,115-229 kV,3,,Eversource,,4,0.05
1163509611,115.0,115-229 kV,3,,Eversource,,5,0.04
1163509612,115.0,115-229 kV,3,,Eversource,,3,0.03
1163509613,115.0,115-229 kV,3,,Eversource,,2,0.02
1163509614,115.0,115-229 kV,3,,Eversource,,8,0.08
1163509615,115.0,115-229 kV,3,,Eversource,,6,0.06
1163509616,115.0,115-229 kV,3,,Eversource,,3,0.02
1163509617,115.0,115-229 kV,3,,Eversource,,3,0.02
1163509618,115.0,115-229 kV,3,,Eversource,,9,0.09
1163509619,115.0,115-229 kV,3,,Eversource,,6,0.04
1163509620,115.0,115-229 kV,3,,Eversource,,3,0.02
1163509621,345.0,345-499 kV,3,,Eversource,,14,0.22
1163509622,345.0,345-499 kV,3,,Eversource,,6,0.12
1163509623,345.0,345-499 kV,3,,Eversource,,3,0.06
1163509624,345.0,345-499 kV,3,,Eversource,,4,0.05
1163509625,115.0,115-229 kV,3,,Eversource,,14,0.17
1163509626,115.0,115-229 kV,3,,Eversource,,11,0.15
1163509627,115.0,115-229 kV,3,,Eversource,,6,0.05
1163509628,115.0,115-229 kV,1,,Eversource,,6,0.05
1163509629,115.0,115-229 kV,3,,Eversource,,7,0.05
1163509630,115.0,115-229 kV,3,,Eversource,,5,0.04
1163509631,115.0,115-229 kV,3,,Eversource,,3,0.02
1163509632,115.0,115-229 kV,3,,Eversource,,4,0.05
1163514812,115.0,115-229 kV,3,1,Eversource,,5,0.04
1163514813,115.0,115-229 kV,3,1,Eversource,,2,0.01
1163514814,115.0,115-229 kV,3,1,Eversource,,3,0.02
1163514815,115.0,115-229 kV,3,,Eversource,,11,0.09
1163514816,115.0,115-229 kV,3,,Eversource,,10,0.08
1163514817,115.0,115-229 kV,3,,Eversource,,3,0.03
1163514818,115.0,115-229 kV,3,,Eversource,,2,0.01
1163514819,115.0,115-229 kV,3,,Eversource,,20,0.23
1163514820,115.0,115-229 kV,3,,Eversource,,11,0.22
1163514821,115.0,115-229 kV,3,,Eversource,,3,0.02
1163514822,115.0,115-229 kV,3,,Eversource,,12,0.09
1163514823,115.0,115-229 kV,3,,Eversource,,2,0.03
1163514824,115.0,115-229 kV,3,,Eversource,,5,0.07
1163514825,115.0,115-229 kV,3,,Eversource,,2,0.01
1163514826,115.0,115-229 kV,3,,Eversource,,3,0.02
1163514827,115.0,115-229 kV,3,,Eversource,,3,0.02
1163514828,115.0,115-229 kV,3,,Eversource,,5,0.04
1163514829,115.0,115-229 kV,3,,Eversource,,3,0.02
1163514830,115.0,115-229 kV,3,,Eversource,,6,0.07
1163514832,115.0,115-229 kV,3,,Eversource,,6,0.07
1163518466,115.0,115-229 kV,3,,Eversource,,4,0.03
1163518467,115.0,115-229 kV,3,,Eversource,,4,0.03
1163518468,115.0,115-229 kV,3,,Eversource,,3,0.02
1163518469,115.0,115-229 kV,3,,,,8,0.07
1163518470,115.0,115-229 kV,3,,Eversource,,5,0.02
1163518471,115.0,115-229 kV,3,,Eversource,,11,0.07
1163518472,115.0,115-229 kV,3,,Eversource,,10,0.05
1163518473,115.0,115-229 kV,3,,Eversource,,9,0.07
1163518474,115.0,115-229 kV,3,,Eversource,,7,0.03
1163518475,115.0,115-229 kV,3,,Eversource,,11,0.09
1163518476,115.0,115-229 kV,3,,Eversource,,10,0.07
1163518477,115.0,115-229 kV,3,,Eversource,,17,0.09
1163518478,115.0,115-229 kV,3,,Eversource,,5,0.02
1163518479,115.0,115-229 kV,3,,Eversource,,17,0.09
1163527558,115.0,115-229 kV,3,1,Eversource,,6,0.05
1163527561,345.0,345-499 kV,3,,Eversource,,3,0.03
1163527563,345.0,345-499 kV,3,,Eversource,,3,0.03
1163527565,345.0,345-499 kV,3,,Eversource,,3,0.04
1163527567,115.0,115-229 kV,3,,Eversource,,5,0.05
1163527568,115.0,115-229 kV,3,,Eversource,,3,0.02
1163527569,115.0,115-229 kV,3,,Eversource,,3,0.03
1163527570,345.0,345-499 kV,3,,Eversource,,15,0.34
1163527571,345.0,345-499 kV,3,,Eversource,,7,0.12
1163527572,345.0,345-499 kV,3,,Eversource,,15,0.4
1163527573,345.0,345-499 kV,3,,Eversource,,3,0.06
1163529257,345.0,345-499 kV,3,1,Eversource,,5,0.1
1163529258,115.0,115-229 kV,3,1,Eversource,,5,0.05
1163529259,115.0,115-229 kV,3,1,Eversource,,4,0.03
1163529260,115.0,115-229 kV,3,1,Eversource,,8,0.1
1163529261,115.0,115-229 kV,3,1,Eversource,,3,0.02
1163529262,115.0,115-229 kV,3,,Eversource,,5,0.05
1163529263,115.0,115-229 kV,3,,Eversource,,4,0.05
1163529264,115.0,115-229 kV,3,,Eversource,,6,0.05
1163659817,115.0,115-229 kV,3,1,,,31,6.46
1163659818,115.0,115-229 kV,3,1,,,10,2.2
1163714672,345.0,345-499 kV,3,,Eversource,,15,0.42
1163714673,345.0,345-499 kV,3,,Eversource,,7,0.12
1163714674,115.0,115-229 kV,3,,Eversource,,3,0.02
1163714675,115.0,115-229 kV,3,,Eversource,,2,0.01
1163714676,115.0,115-229 kV,3,1,Eversource,,6,0.04
1163714677,115.0,115-229 kV,3,1,Eversource,,13,0.13
1163714678,115.0,115-229 kV,3,1,Eversource,,7,0.05
1163714679,115.0,115-229 kV,3,1,Eversource,,3,0.03
1163714680,115.0,115-229 kV,3,1,Eversource,,2,0.01
1163714681,115.0,115-229 kV,3,1,Eversource,,2,0.01
1163714682,115.0,115-229 kV,3,1,Eversource,,2,0.02
1163714683,115.0,115-229 kV,3,1,Eversource,,2,0.01
1163714684,115.0,115-229 kV,3,1,Eversource,,4,0.02
1163723131,115.0,115-229 kV,3,,United Illuminating Company,,5,0.06
1163723132,115.0,115-229 kV,3,,United Illuminating Company,,5,0.03
1163723133,115.0,115-229 kV,3,,United Illuminating Company,,2,0.01
1163723134,115.0,115-229 kV,3,,United Illuminating Company,,14,0.11
1163723135,115.0,115-229 kV,3,,United Illuminating Company,,3,0.03
1163723136,115.0,115-229 kV,3,,United Illuminating Company,115kV transmission line,6,0.53
1163723137,115.0,115-229 kV,3,,United Illuminating Company,,12,0.1
1163723138,115.0,115-229 kV,3,,United Illuminating Company,,6,0.06
1163723139,115.0,115-229 kV,3,,United Illuminating Company,,4,0.05
1163723140,115.0,115-229 kV,3,,United Illuminating Company,,3,0.04
1163723141,115.0,115-229 kV,3,,United Illuminating Company,,3,0.04
1163723142,115.0,115-229 kV,3,,United Illuminating Company,,4,0.05
1163723143,115.0,115-229 kV,3,,United Illuminating Company,,4,0.05
1163723144,115.0,115-229 kV,3,,United Illuminating Company,,4,0.05
1163723145,115.0,115-229 kV,3,,Eversource,,5,0.03
1163723146,115.0,115-229 kV,3,,Eversource,,5,0.03
1163723147,115.0,115-229 kV,3,,Eversource,,3,0.02
1163723148,115.0,115-229 kV,3,,Eversource,,5,0.05
1163723149,115.0,115-229 kV,3,,Eversource,,2,0.01
1163723150,115.0,115-229 kV,3,,Eversource,,2,0.01
1163723151,115.0,115-229 kV,3,,Eversource,,3,0.04
1163723152,115.0,115-229 kV,3,,Eversource,,4,0.04
1163723153,115.0,115-229 kV,3,,Eversource,,2,0.01
1163723154,115.0,115-229 kV,3,,Eversource,,4,0.04
1163731807,115.0,115-229 kV,3,1,Eversource,,4,0.01
1163731808,115.0,115-229 kV,3,1,Eversource,,4,0.01
