SCEDTimeStamp,RepeatedHourFlag,ConstraintID,ConstraintName,ContingencyName,ShadowPrice,MaxShadowPrice,Limit,Value,ViolatedMW,FromStation,ToStation,FromStationkV,ToStationkV,CCTStatus
02/24/2026 11:50:18,N,4,16050__B,SW_SDIV5,0,3500,263.2,230.7,-32.5,CRTRVLLE,HILGR,138,138,NONCOMP
02/24/2026 11:50:18,N,1,6215__A,DSCOTKW5,86.44434,3500,218.9,218.9,0,BCKSW,CGRSW,138,138,NONCOMP
02/24/2026 11:50:18,N,2,THWZEN71_A,DRNS_TB5,0,4500,1297.9,1280.5,-17.3,ZEN,THW,345,345,COMP
02/24/2026 11:50:18,N,12,NORTMC_AT2L,DBAKSOL5,54.5895,3500,869.4,869.4,0,NORTMC,NORTMC,1,138,COMP
02/24/2026 11:45:17,N,7,MLB_SLR_TLINE_1,BASE CASE,0,5251,199.9,190.4,-9.5,MLB_SLR,QUASAR,345,345,NONCOMP
02/24/2026 11:45:17,N,9,2270__B,DCMBCLB8,0,2800,38.5,26.6,-11.9,ITALY,MEXTP,69,69,NONCOMP
02/24/2026 11:45:17,N,10,NE_LOB,BASE CASE,0,5251,1593.8,1568.9,-24.9,,,0,0,NONCOMP
02/24/2026 11:45:17,N,3,HHGTOM_1,BASE CASE,28.60117,5251,711,711,0,HHGT,OMEGA,345,345,NONCOMP
02/24/2026 11:45:17,N,8,RAYBUR_FURHMAN_1,SFURVAN8,0,3500,169.5,168.9,-0.6,FURHMAN,RAYBURN,138,138,NONCOMP
02/24/2026 11:45:17,N,1,6215__A,DSCOTKW5,71.75555,3500,219,219,0,BCKSW,CGRSW,138,138,NONCOMP
02/24/2026 11:45:17,N,5,WESTEX,BASE CASE,9.73187,5251,10225.6,10225.6,0,,,0,0,COMP
02/24/2026 11:45:17,N,2,THWZEN71_A,DRNS_TB5,0,4500,1298.3,1242.7,-55.6,ZEN,THW,345,345,COMP
02/24/2026 11:45:17,N,6,6513__A,DODEMOS5,133.2243,3500,432.7,432.7,0,ODESA,ODNTH,138,138,COMP
02/24/2026 11:45:17,N,4,16050__B,SW_SDIV5,0,3500,263.2,237.5,-25.7,CRTRVLLE,HILGR,138,138,NONCOMP
02/24/2026 11:40:17,N,8,RAYBUR_FURHMAN_1,SFURVAN8,0,3500,169.5,168.6,-0.9,FURHMAN,RAYBURN,138,138,NONCOMP
02/24/2026 11:40:17,N,7,MLB_SLR_TLINE_1,BASE CASE,0,5251,199.9,176.8,-23.1,MLB_SLR,QUASAR,345,345,NONCOMP
02/24/2026 11:40:17,N,1,6215__A,DSCOTKW5,107.08224,3500,213,213,0,BCKSW,CGRSW,138,138,NONCOMP
02/24/2026 11:40:17,N,2,THWZEN71_A,DRNS_TB5,0,4500,1300.6,1225.2,-75.4,ZEN,THW,345,345,COMP
02/24/2026 11:40:17,N,6,6513__A,DODEMOS5,113.7384,3500,432.8,432.8,0,ODESA,ODNTH,138,138,COMP
02/24/2026 11:40:17,N,9,2270__B,DCMBCLB8,0,2800,37.6,26.4,-11.3,ITALY,MEXTP,69,69,NONCOMP
02/24/2026 11:40:17,N,10,NE_LOB,BASE CASE,10.26491,5251,1593.8,1593.8,0,,,0,0,NONCOMP
02/24/2026 11:40:17,N,3,HHGTOM_1,BASE CASE,28.7708,5251,711,711,0,HHGT,OMEGA,345,345,NONCOMP
02/24/2026 11:40:17,N,5,WESTEX,BASE CASE,6.4975,5251,10225.6,10225.6,0,,,0,0,COMP
02/24/2026 11:40:17,N,4,16050__B,SW_SDIV5,0,3500,263.3,229.5,-33.8,CRTRVLLE,HILGR,138,138,NONCOMP
02/24/2026 11:35:17,N,7,MLB_SLR_TLINE_1,BASE CASE,0,5251,199.9,181.5,-18.4,MLB_SLR,QUASAR,345,345,NONCOMP
02/24/2026 11:35:17,N,5,WESTEX,BASE CASE,11.91192,5251,10225.6,10225.6,0,,,0,0,COMP
02/24/2026 11:35:17,N,3,HHGTOM_1,BASE CASE,30.65587,5251,711,711,0,HHGT,OMEGA,345,345,NONCOMP
02/24/2026 11:35:17,N,4,16050__B,SW_SDIV5,0,3500,263.3,225.7,-37.6,CRTRVLLE,HILGR,138,138,NONCOMP
02/24/2026 11:35:17,N,8,RAYBUR_FURHMAN_1,SFURVAN8,0,3500,169.4,157.4,-11.9,FURHMAN,RAYBURN,138,138,NONCOMP
02/24/2026 11:35:17,N,2,THWZEN71_A,DRNS_TB5,0,4500,1301.5,1239.5,-62.1,ZEN,THW,345,345,COMP
02/24/2026 11:35:17,N,10,NE_LOB,BASE CASE,0,5251,1593.8,1501.1,-92.6,,,0,0,NONCOMP
02/24/2026 11:35:17,N,6,6513__A,DODEMOS5,133.05782,3500,434.7,434.7,0,ODESA,ODNTH,138,138,COMP
02/24/2026 11:35:17,N,9,2270__B,DCMBCLB8,0,2800,37.6,29.7,-7.8,ITALY,MEXTP,69,69,NONCOMP
02/24/2026 11:35:17,N,1,6215__A,DSCOTKW5,71.89632,3500,218.9,218.9,0,BCKSW,CGRSW,138,138,NONCOMP
02/24/2026 11:30:18,N,8,RAYBUR_FURHMAN_1,SFURVAN8,0,3500,167.1,165,-2.1,FURHMAN,RAYBURN,138,138,NONCOMP
02/24/2026 11:30:18,N,7,MLB_SLR_TLINE_1,BASE CASE,0,5251,199.9,180.1,-19.8,MLB_SLR,QUASAR,345,345,NONCOMP
02/24/2026 11:30:18,N,10,NE_LOB,BASE CASE,0,5251,1593.8,1562.8,-31,,,0,0,NONCOMP
02/24/2026 11:30:18,N,4,HHGTOM_1,BASE CASE,33.09245,5251,711,711,0,HHGT,OMEGA,345,345,NONCOMP
02/24/2026 11:30:18,N,3,16050__B,SW_SDIV5,0,3500,263,232.4,-30.6,CRTRVLLE,HILGR,138,138,NONCOMP
02/24/2026 11:30:18,N,1,6215__A,DSCOTKW5,72.05128,3500,218.7,218.7,0,BCKSW,CGRSW,138,138,NONCOMP
02/24/2026 11:30:18,N,2,THWZEN71_A,DRNS_TB5,0,4500,1301.8,1218.2,-83.7,ZEN,THW,345,345,COMP
02/24/2026 11:30:18,N,6,6513__A,DODEMOS5,132.90575,3500,432.8,432.8,0,ODESA,ODNTH,138,138,COMP
02/24/2026 11:30:18,N,5,WESTEX,BASE CASE,14.49189,5251,10225.6,10225.6,0,,,0,0,COMP
02/24/2026 11:30:18,N,9,2270__B,DCMBCLB8,2.41967,2800,37.9,37.9,0,ITALY,MEXTP,69,69,NONCOMP
02/24/2026 11:25:17,N,5,WESTEX,BASE CASE,13.69699,5251,10225.6,10225.6,0,,,0,0,COMP
02/24/2026 11:25:17,N,8,2270__B,DCMBCLB8,2.45713,2800,37.7,37.7,0,ITALY,MEXTP,69,69,NONCOMP
02/24/2026 11:25:17,N,6,6513__A,DODEMOS5,128.36864,3500,432.8,432.8,0,ODESA,ODNTH,138,138,COMP
02/24/2026 11:25:17,N,2,THWZEN71_A,DRNS_TB5,0,4500,1301,1199.7,-101.4,ZEN,THW,345,345,COMP
02/24/2026 11:25:17,N,1,6215__A,DSCOTKW5,78.57107,3500,213,213,0,BCKSW,CGRSW,138,138,NONCOMP
02/24/2026 11:25:17,N,4,16050__B,SW_SDIV5,0,3500,263,234.7,-28.2,CRTRVLLE,HILGR,138,138,NONCOMP
02/24/2026 11:25:17,N,3,HHGTOM_1,BASE CASE,33.0909,5251,711,711,0,HHGT,OMEGA,345,345,NONCOMP
02/24/2026 11:25:17,N,9,NE_LOB,BASE CASE,0,5251,1593.8,1524,-69.7,,,0,0,NONCOMP
02/24/2026 11:25:17,N,7,MLB_SLR_TLINE_1,BASE CASE,0,5251,199.8,181.7,-18.1,MLB_SLR,QUASAR,345,345,NONCOMP
02/24/2026 11:20:17,N,6,WESTEX,BASE CASE,14.41766,5251,10225.6,10225.6,0,,,0,0,COMP
02/24/2026 11:20:17,N,5,FORTMA_YELWJC1_1,DBIGKEN5,0,3500,148,120.5,-27.5,YELWJCKT,FORTMA,138,138,NONCOMP
02/24/2026 11:20:17,N,7,6513__A,DODEMOS5,132.87683,3500,432.4,432.4,0,ODESA,ODNTH,138,138,COMP
02/24/2026 11:20:17,N,2,THWZEN71_A,DRNS_TB5,0,4500,1299.7,1250.9,-48.8,ZEN,THW,345,345,COMP
02/24/2026 11:20:17,N,8,MLB_SLR_TLINE_1,BASE CASE,0,5251,199.8,192.9,-6.9,MLB_SLR,QUASAR,345,345,NONCOMP
02/24/2026 11:20:17,N,10,35055__A,SVENFTS5,0,4500,1153.9,999,-154.9,SAMSW,VENSW,345,345,COMP
02/24/2026 11:20:17,N,4,16050__B,SW_SDIV5,0,3500,263.1,232.5,-30.5,CRTRVLLE,HILGR,138,138,NONCOMP
02/24/2026 11:20:17,N,3,HHGTOM_1,BASE CASE,33.02304,5251,711,711,0,HHGT,OMEGA,345,345,NONCOMP
02/24/2026 11:20:17,N,9,NE_LOB,BASE CASE,0,5251,1593.8,1492.9,-100.9,,,0,0,NONCOMP
02/24/2026 11:20:17,N,1,6215__A,DSCOTKW5,72.09522,3500,213.2,213.2,0,BCKSW,CGRSW,138,138,NONCOMP
02/24/2026 11:15:17,N,12,35055__A,SVENFTS5,0,4500,1154,1000.3,-153.7,SAMSW,VENSW,345,345,COMP
02/24/2026 11:15:17,N,9,BR_HOC09_A,SMDOOAS5,0,3500,634.4,574,-60.4,BR,HOC,138,138,NONCOMP
02/24/2026 11:15:17,N,1,6215__A,DSCOTKW5,70.57873,3500,213.3,213.3,0,BCKSW,CGRSW,138,138,NONCOMP
02/24/2026 11:15:17,N,2,THWZEN71_A,DRNS_TB5,0,4500,1300.6,1224.9,-75.7,ZEN,THW,345,345,COMP
02/24/2026 11:15:17,N,7,6513__A,DODEMOS5,122.67531,3500,432.1,432.1,0,ODESA,ODNTH,138,138,COMP
02/24/2026 11:15:17,N,4,16050__B,SW_SDIV5,0,3500,262.9,237.5,-25.4,CRTRVLLE,HILGR,138,138,NONCOMP
02/24/2026 11:15:17,N,6,WESTEX,BASE CASE,12.58051,5251,10225.6,10225.6,0,,,0,0,COMP
02/24/2026 11:15:17,N,8,BR_HOC09_A,BASE CASE,0,5251,485.1,427.5,-57.6,BR,HOC,138,138,NONCOMP
02/24/2026 11:15:17,N,10,MLB_SLR_TLINE_1,BASE CASE,0,5251,199.8,191.9,-7.9,MLB_SLR,QUASAR,345,345,NONCOMP
02/24/2026 11:15:17,N,11,NE_LOB,BASE CASE,0,5251,1593.8,1515.8,-78,,,0,0,NONCOMP
02/24/2026 11:15:17,N,3,HHGTOM_1,BASE CASE,32.99341,5251,711,711,0,HHGT,OMEGA,345,345,NONCOMP
02/24/2026 11:15:17,N,5,FORTMA_YELWJC1_1,DBIGKEN5,0,3500,147.9,121.1,-26.8,YELWJCKT,FORTMA,138,138,NONCOMP
02/24/2026 11:10:18,N,2,THWZEN71_A,DRNS_TB5,0,4500,1300.6,1257,-43.6,ZEN,THW,345,345,COMP
02/24/2026 11:10:18,N,1,6215__A,DSCOTKW5,40.85173,3500,213.1,213.1,0,BCKSW,CGRSW,138,138,NONCOMP
02/24/2026 11:10:18,N,4,16050__B,SW_SDIV5,0,3500,262.8,232.6,-30.2,CRTRVLLE,HILGR,138,138,NONCOMP
02/24/2026 11:10:18,N,8,BR_HOC09_A,BASE CASE,0,5251,485.1,436.8,-48.3,BR,HOC,138,138,NONCOMP
02/24/2026 11:10:18,N,15,35055__A,SVENFTS5,0,4500,1153.7,993.3,-160.4,SAMSW,VENSW,345,345,COMP
02/24/2026 11:10:18,N,9,BR_HOC09_A,SMDOOAS5,0,3500,634.3,580,-54.3,BR,HOC,138,138,NONCOMP
02/24/2026 11:10:18,N,7,6513__A,DODEMOS5,111.09119,3500,432.1,432.1,0,ODESA,ODNTH,138,138,COMP
02/24/2026 11:10:18,N,12,LARDVN_LOBO2_1,DFOAVLO5,0,3500,426.2,349.4,-76.8,LOBO,LARDVNTH,138,138,NONCOMP
02/24/2026 11:10:18,N,10,MLB_SLR_TLINE_1,BASE CASE,0,5251,199.7,198.8,-0.8,MLB_SLR,QUASAR,345,345,NONCOMP
02/24/2026 11:10:18,N,14,NE_LOB,BASE CASE,0,5251,1593.8,1526,-67.7,,,0,0,NONCOMP
02/24/2026 11:10:18,N,3,HHGTOM_1,BASE CASE,32.6955,5251,711,711,0,HHGT,OMEGA,345,345,NONCOMP
02/24/2026 11:10:18,N,13,HON_DEVI_1,DELMSAN5,0,2800,39.1,26.1,-13,HONDOCK,DEVINESW,69,69,NONCOMP
02/24/2026 11:10:18,N,11,MADDUX_SANTIA1_1,SCARFRI8,0,3500,201.6,160,-41.5,SANTIAGO,MADDUX,138,138,NONCOMP
02/24/2026 11:10:18,N,6,WESTEX,BASE CASE,7.86487,5251,10225.6,10225.6,0,,,0,0,COMP
02/24/2026 11:10:18,N,5,FORTMA_YELWJC1_1,DBIGKEN5,0,3500,148.4,129.4,-19,YELWJCKT,FORTMA,138,138,NONCOMP
02/24/2026 11:05:18,N,3,HHGTOM_1,BASE CASE,32.63157,5251,711,711,0,HHGT,OMEGA,345,345,NONCOMP
02/24/2026 11:05:18,N,10,MLB_SLR_TLINE_1,BASE CASE,0,5251,199.9,194,-5.9,MLB_SLR,QUASAR,345,345,NONCOMP
02/24/2026 11:05:18,N,5,FORTMA_YELWJC1_1,DBIGKEN5,0,3500,148.2,120.8,-27.4,YELWJCKT,FORTMA,138,138,NONCOMP
02/24/2026 11:05:18,N,6,WESTEX,BASE CASE,7.6565,5251,10225.6,10225.6,0,,,0,0,COMP
02/24/2026 11:05:18,N,14,NE_LOB,BASE CASE,0,5251,1593.8,1531.3,-62.4,,,0,0,NONCOMP
02/24/2026 11:05:18,N,4,16050__B,SW_SDIV5,0,3500,267.7,240.2,-27.5,CRTRVLLE,HILGR,138,138,NONCOMP
02/24/2026 11:05:18,N,15,35055__A,SVENFTS5,0,4500,1154,959.5,-194.5,SAMSW,VENSW,345,345,COMP
02/24/2026 11:05:18,N,9,BR_HOC09_A,SMDOOAS5,0,3500,620.6,576.1,-44.4,BR,HOC,138,138,NONCOMP
02/24/2026 11:05:18,N,11,MADDUX_SANTIA1_1,SCARFRI8,0,3500,200.7,163.4,-37.2,SANTIAGO,MADDUX,138,138,NONCOMP
02/24/2026 11:05:18,N,1,6215__A,DSCOTKW5,34.07341,3500,215.1,215.1,0,BCKSW,CGRSW,138,138,NONCOMP
02/24/2026 11:05:18,N,2,THWZEN71_A,DRNS_TB5,0,4500,1300.3,1237.3,-63,ZEN,THW,345,345,COMP
02/24/2026 11:05:18,N,7,6513__A,DODEMOS5,110.22584,3500,435.3,435.3,0,ODESA,ODNTH,138,138,COMP
02/24/2026 11:05:18,N,12,LARDVN_LOBO2_1,DFOAVLO5,0,3500,427.4,355.1,-72.3,LOBO,LARDVNTH,138,138,NONCOMP
02/24/2026 11:05:18,N,8,BR_HOC09_A,BASE CASE,0,5251,485.1,433.8,-51.3,BR,HOC,138,138,NONCOMP
02/24/2026 11:05:18,N,13,HON_DEVI_1,DELMSAN5,0,2800,38.8,29,-9.7,HONDOCK,DEVINESW,69,69,NONCOMP
02/24/2026 11:00:19,N,10,MLB_SLR_TLINE_1,BASE CASE,0,5251,199.8,192.4,-7.5,MLB_SLR,QUASAR,345,345,NONCOMP
02/24/2026 11:00:19,N,16,NE_LOB,BASE CASE,0,5251,1593.8,1480.2,-113.5,,,0,0,NONCOMP
02/24/2026 11:00:19,N,3,HHGTOM_1,BASE CASE,32.53197,5251,711,711,0,HHGT,OMEGA,345,345,NONCOMP
02/24/2026 11:00:19,N,6,WESTEX,BASE CASE,7.41257,5251,10225.6,10225.6,0,,,0,0,COMP
02/24/2026 11:00:19,N,4,16050__B,SW_SDIV5,0,3500,269.4,232,-37.4,CRTRVLLE,HILGR,138,138,NONCOMP
02/24/2026 11:00:19,N,17,35055__A,SVENFTS5,0,4500,1154,929.4,-224.6,SAMSW,VENSW,345,345,COMP
02/24/2026 11:00:19,N,9,BR_HOC09_A,SMDOOAS5,0,3500,625.4,619,-6.5,BR,HOC,138,138,NONCOMP
02/24/2026 11:00:19,N,13,UVALDE_W_BATE1_1,SDIMBEV8,0,3500,121.1,83.8,-37.3,W_BATESV,UVALDE,138,138,NONCOMP
02/24/2026 11:00:19,N,11,MADDUX_SANTIA1_1,SCARFRI8,0,3500,200.1,172.6,-27.5,SANTIAGO,MADDUX,138,138,NONCOMP
02/24/2026 11:00:19,N,12,ESCOND_GANSO1_1,SBRAPIN8,0,3500,121.8,-14,-135.8,ESCONDID,GANSO,138,138,NONCOMP
02/24/2026 11:00:19,N,1,6215__A,DSCOTKW5,11.6517,3500,222.9,222.9,0,BCKSW,CGRSW,138,138,NONCOMP
02/24/2026 11:00:19,N,2,THWZEN71_A,DRNS_TB5,0,4500,1299.1,1225.3,-73.7,ZEN,THW,345,345,COMP
02/24/2026 11:00:19,N,7,6513__A,DODEMOS5,110.5167,3500,437.5,437.5,0,ODESA,ODNTH,138,138,COMP
02/24/2026 11:00:19,N,14,LARDVN_LOBO2_1,DFOAVLO5,0,3500,427.8,337.1,-90.7,LOBO,LARDVNTH,138,138,NONCOMP
02/24/2026 11:00:19,N,15,HON_DEVI_1,DELMSAN5,0,2800,38.3,26.9,-11.4,HONDOCK,DEVINESW,69,69,NONCOMP
02/24/2026 11:00:19,N,8,BR_HOC09_A,BASE CASE,0,5251,485.1,472.4,-12.6,BR,HOC,138,138,NONCOMP
02/24/2026 11:00:19,N,5,FORTMA_YELWJC1_1,DBIGKEN5,0,3500,148.5,132.7,-15.7,YELWJCKT,FORTMA,138,138,NONCOMP
