Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Storage Technology 1,Storage Technology 2,Storage Technology 3,Storage Technology 4,Nameplate Reactive Power Rating,Storage Enclosure Type,Arbitrage,Frequency Regulation,Load Following,Ramping / Spinning Reserve,Co-Located Renewable Firming,Transmission and Distribution Deferral,System Peak Shaving,Load Management,Voltage or Reactive Power Support,Backup Power,Excess Wind and Solar Generation,AC Coupled,DC Coupled,DC Tightly Coupled,Independent,Direct Support of Another Unit,Direct Support Plant ID 1,Direct Support Gen ID 1,Direct Support Plant ID 2,Direct Support Gen ID 2,Direct Support Plant ID 3,Direct Support Gen ID 3,Support T&D Asset
18488,City of Taunton,1682,Cleary Flood Hybrid,MA,Bristol,BS1,OP,Batteries,BA,Electric Utility,1,3.0,2.9,3.0,3,2020,6,3,3,LIB,,,,3,CS,,,,,,,PR,,,,,,,,,N, ,, ,, ,,N
13407,Nevada Power Co,2324,Reid Gardner,NV,Clark,RGES1,OP,Batteries,BA,Electric Utility,1,220.0,220.0,220.0,12,2023,220,220,220,LIB,,,,72.3,CS,PR,,,,,,,,,,,,,,,N, ,, ,, ,,N
3542,Duke Energy Ohio Inc,2830,Walter C Beckjord,OH,Clermont,BECK1,OP,Batteries,BA,Electric Utility,1,2.0,2.0,2.0,1,2015,1,2,2,LIB,,,,2,CS,,PR,,,,,,,,,,,,,,N, ,, ,, ,,N
3542,Duke Energy Ohio Inc,2830,Walter C Beckjord,OH,Clermont,BECK2,OP,Batteries,BA,Electric Utility,1,2.0,2.0,2.0,11,2015,0.8,2,2,LIB,,,,2,CS,,PR,,,,,,,,,,,,,,N, ,, ,, ,,N
10451,Kotzebue Electric Assn Inc,6304,Kotzebue Hybrid,AK,NORTHWEST ARCTIC,ES1,OP,Batteries,BA,Electric Utility,1,1.2,1.2,1.2,12,2015,1,1.2,1.2,LIB,,,,1.2,CT,,PR,Y,Y,Y,,Y,Y,,Y,Y,Y,,,,Y,6304,ES1, ,, ,,N
13683,North Carolina El Member Corp,6377,Ocracoke Hybrid,NC,Hyde,BAT,OP,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,1,2017,1,0.5,0.5,LIB,,,,0.5,CS,Y,,,,,,,PR,,,,,,,,N, ,, ,, ,,N
17609,Southern California Edison Co,6704,Pebbly Beach Generating Station Hybrid,CA,Los Angeles,NASB1,OS,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,8,2012,6.8,1,1,NAB,,,,0.8,CS,,,,Y,,,PR,Y,Y,,,,,,,N, ,, ,, ,,N
189,PowerSouth Energy Cooperative,7063,McIntosh (AL),AL,Washington,1,OP,Natural Gas with Compressed Air Storage,CE,Electric Utility,1,110.0,25.0,25.0,6,1991,110,52,110,,,,,0.9,BL,,,Y,,,,Y,Y,Y,,,,,,,, ,, ,, ,,
55983,Luminant Generation Company LLC,8063,DeCordova Steam Electric Station,TX,Hood,BESS,OP,Batteries,BA,IPP Non-CHP,2,269.1,260.0,260.0,7,2022,263,263,263,LIB,,,,137,CS,,Y,PR,Y,,,,,,,,,,,,N, ,, ,, ,,N
20323,"Wellhead Services, Inc",10156,Fresno Cogen Partners,CA,Fresno,BESS1,OP,Batteries,BA,IPP CHP,3,16.0,16.0,16.0,3,2023,16,16,16,LIB,,,,10,CS,,,Y,PR,,,,,,,,Y,,,,Y,10156,GEN3,10156,GEN4, ,,N
50083,Brookfield Power New England,10493,Rumford Falls Hydro Facility,ME,Oxford,BES1,OP,Batteries,BA,IPP Non-CHP,2,8.0,8.0,8.0,5,2023,16,8,8,LIB,,,,8.4,CS,PR,Y,Y,Y,,,,,Y,,,,,,,N, ,, ,, ,,N
22142,University of California Santa Cruz,50064,University of California Santa Cruz,CA,Santa Cruz,18027,OP,Batteries,BA,Commercial CHP,5,1.0,1.0,1.0,12,2022,1,1,1,LIB,,,,0,CS,,,,,Y,,PR,,,,Y,Y,,,,Y,50064,246, ,, ,,N
54736,"VESI Pomona Energy Storage, Inc.",50300,VESI Pomona,CA,Los Angeles,BESS1,OP,Batteries,BA,IPP Non-CHP,2,20.0,20.0,20.0,12,2016,20,20,20,LIB,,,,20,BL,PR,Y,,,,,,,,,,,,,,N, ,, ,, ,,N
54736,"VESI Pomona Energy Storage, Inc.",50300,VESI Pomona,CA,Los Angeles,BESS2,OP,Batteries,BA,IPP Non-CHP,2,20.0,20.0,20.0,8,2023,20,20,20,LIB,,,,20,BL,PR,Y,,,,,,,,,,,,,,N, ,, ,, ,,Y
7595,Great Lakes Hydro America LLC,54134,Great Lakes Hydro America - ME,ME,Penobscot,BES1,OP,Batteries,BA,IPP Non-CHP,2,10.0,9.4,9.4,12,2020,10,4,5,LIB,,,,18.2,CS,PR,Y,Y,Y,,,,,Y,,,,,,,N, ,, ,, ,,N
7595,Great Lakes Hydro America LLC,54134,Great Lakes Hydro America - ME,ME,Penobscot,BES2,OP,Batteries,BA,IPP Non-CHP,2,10.0,9.4,9.4,12,2020,10,4,5,LIB,,,,18.2,CS,PR,Y,Y,Y,,,,,Y,,,,,,,N, ,, ,, ,,N
1752,Biola University,54296,Biola University Hybrid,CA,Los Angeles,BATT,OP,Batteries,BA,Commercial CHP,5,0.3,0.3,0.3,2,2018,0.5,0.3,0.3,LIB,,,,0.3,CS,,,,,,,PR,,,,,,,,,N, ,, ,, ,,N
7595,Great Lakes Hydro America LLC,54639,Berlin Gorham,NH,Coos,BESS1,OP,Batteries,BA,IPP Non-CHP,2,14.0,14.0,14.0,12,2023,14,14,14,LIB,,,,14.7,CS,PR,Y,Y,Y,,,,,Y,,,,,,,N, ,, ,, ,,N
6862,"Green Mountain Storage, LLC",55370,"Green Mountain Storage, LLC",PA,Somerset,BGM,OP,Batteries,BA,IPP Non-CHP,2,10.4,10.4,10.4,5,2016,10.4,10.4,10.4,LIB,,,,10.4,CT,,PR,,,,,,,,,,,,,,N, ,, ,, ,,N
17609,Southern California Edison Co,56472,Grapeland Hybrid,CA,San Bernardino,BA1,OP,Batteries,BA,Electric Utility,1,10.0,10.0,10.0,12,2016,10,10,10,LIB,,,,6,BL,,Y,,PR,,,,,,,,Y,,,,N, ,, ,, ,,N
17609,Southern California Edison Co,56475,Center Hybrid,CA,Los Angeles,BA1,OP,Batteries,BA,Electric Utility,1,10.0,10.0,10.0,12,2016,10,10,10,LIB,,,,6,BL,,Y,,PR,,,,,,,,Y,,,,N, ,, ,, ,,N
56023,Arizona Solar One LLC,56812,Solana Generating Station,AZ,Maricopa,GEN 1,OP,Solar Thermal with Energy Storage,CP,IPP Non-CHP,2,140.0,147.8,147.8,10,2013, , , ,,,,, ,,,,,,,,,Y,,,Y,,,,,, ,, ,, ,,
56023,Arizona Solar One LLC,56812,Solana Generating Station,AZ,Maricopa,GEN2,OP,Solar Thermal with Energy Storage,CP,IPP Non-CHP,2,140.0,147.8,147.8,10,2013, , , ,,,,, ,,,,,,,,,Y,,,Y,,,,,, ,, ,, ,,
65411,Duke Energy Renewables Services,56961,Notrees Windpower Hybrid,TX,Ector,BATT,OP,Batteries,BA,IPP Non-CHP,2,36.0,36.0,36.0,12,2012,13.6,36,36,LIB,,,,36,BL,,PR,,,,,,,,,,Y,,,,Y,56961,GE,56951,VESTA, ,,Y
56215,"Big Sky Wind, LLC",56981,Pyron Wind Farm LLC Hybrid,TX,Fisher,PYRBT,OP,Batteries,BA,IPP Non-CHP,2,9.9,9.9,9.9,1,2018,9.9,9.9,9.9,LIB,,,,3.3,CS,,PR,,,,,,,,,Y,Y,,,,Y,56981,1, ,, ,,Y
56215,"Big Sky Wind, LLC",56984,Inadale Wind Farm LLC Hybrid,TX,Nolan,INABT,OP,Batteries,BA,IPP Non-CHP,2,9.9,9.9,9.9,1,2018,9.9,9.9,9.9,LIB,,,,3.3,CS,,PR,,,,,,,,,Y,Y,,,,Y,56984,1, ,, ,,Y
55963,AE Power Services LLC,57045,Rolling Thunder Wind Farm Hybrid,SD,Hand,2,OP,Batteries,BA,IPP Non-CHP,2,0.8,0.8,0.8,11,2018,0.8,0.3,0.3,LIB,,,,0.3,CS,,,,,,,,PR,,Y,Y,Y,,,,Y,57045,1, ,, ,,Y
59155,"Evergreen Wind, LLC",57082,Kaheawa Wind Power II LLC,HI,Maui,2,OP,Batteries,BA,IPP Non-CHP,2,10.0,10.0,10.0,6,2012,20,10,10,LIB,,,,10,BL,,Y,Y,Y,Y,,,,Y,Y,PR,,,,Y,Y,57082,1, ,, ,,N
19558,Homer Electric Assn Inc,57206,Soldotna,AK,Kenai Peninsula,3,OP,Batteries,BA,Electric Utility,1,46.5,46.5,46.5,1,2022,93,46.5,46.5,LIB,,,,14,CS,,PR,,Y,,,,Y,,,,,,,,N, ,, ,, ,,N
62893,Mililani I Solar LLC,57242,Mililani South Solar Farm,HI,Honolulu,2,OP,Batteries,BA,IPP Non-CHP,2,39.0,39.0,39.0,7,2022,156,39,39,LIB,,,,156,CS,,,,,,,,,,,PR,Y,,,,Y,57242,1, ,, ,,Y
56641,Tonopah Solar Energy LLC,57275,Crescent Dunes Solar Energy,NV,Nye,TSE-1,OP,Solar Thermal with Energy Storage,CP,IPP Non-CHP,2,125.0,110.0,110.0,11,2015, , , ,,,,, ,,,,,,,,,,,,,,,,,, ,, ,, ,,
56678,FPL Energy Illinois Wind LLC,57325,FPL Energy Illinois Wind LLC Hybrid,IL,DeKalb,BFT,OP,Batteries,BA,IPP Non-CHP,2,20.0,20.0,20.0,11,2014,8.3,20,20,LIB,,,,20,CS,,PR,,,,,,,,,,,,,,N, ,, ,, ,,N
61012,AES Distributed Energy,57447,Laurel Mountain Hybrid,WV,Barbour,2,OP,Batteries,BA,IPP Non-CHP,2,16.0,16.0,16.0,10,2011,16,16,16,LIB,,,,0.9,CS,,PR,,,,,,,,,Y,,,,,N, ,, ,, ,,N
803,Arizona Public Service Co,57560,Chino Valley Solar,AZ,Yavapai,CV19M,OP,Batteries,BA,Electric Utility,1,19.0,19.0,19.0,1,2024,76,19,19,LIB,,,,11.8,CS,Y,,,Y,,,PR,,Y,,Y,Y,,,,Y,57560,PV1, ,, ,,N
803,Arizona Public Service Co,57561,Cotton Center Solar Hybrid,AZ,Maricopa,CC17M,OP,Batteries,BA,Electric Utility,1,17.0,17.0,17.0,4,2023,51,17,17,LIB,,,,5.6,CS,,,Y,,,,PR,,,,Y,Y,,,,Y,57561,PV1, ,, ,,N
803,Arizona Public Service Co,57562,Paloma Solar Hybrid,AZ,Maricopa,PA17M,OP,Batteries,BA,Electric Utility,1,17.0,17.0,17.0,4,2023,51,17,17,LIB,,,,5.6,CS,,,Y,,,,PR,,,,Y,Y,,,,Y,57562,PV1, ,, ,,N
803,Arizona Public Service Co,57563,Hyder Solar Hybrid,AZ,Yuma,H116M,OP,Batteries,BA,Electric Utility,1,16.0,16.0,16.0,4,2023,48,16,16,LIB,,,,5.6,CS,,,Y,,,,PR,,,,Y,Y,,,,Y,57563,PV1, ,, ,,N
7353,Golden Valley Elec Assn Inc,57583,Battery Energy Storage System,AK,Fairbanks North Star,BESS,OP,Batteries,BA,Electric Utility,1,40.0,40.0,40.0,12,2003,11,4,40,NIB,,,,46,BL,,Y,,Y,,,,,PR,,,,,,,N, ,, ,, ,,N
56918,University of California San Diego,57584,University of California San Diego Hybri,CA,San Diego,BS1,OP,Batteries,BA,Commercial CHP,5,2.5,2.5,2.5,12,2015,5,2.5,2.5,LIB,,,,2.5,CS,,,Y,,,,PR,Y,,,,,,,,N, ,, ,, ,,N
61978,Convergent Energy and Power LP,57710,Stephentown Spindle,NY,Rensselaer,SRS1,OP,Flywheels,FW,IPP Non-CHP,2,20.0,20.0,20.0,1,2011,15,20,20,,,,,6.4,CS,,Y,,,,,,,,,,,,,,, ,, ,, ,,
61978,Convergent Energy and Power LP,57716,Hazle Spindle,PA,Luzerne,HRS1,OP,Flywheels,FW,IPP Non-CHP,2,20.0,20.0,20.0,9,2013,15,20,20,,,,,6.4,CS,,Y,,,,,,,,,,,,,,, ,, ,, ,,
57372,Auwahi Wind Energy LLC,57996,Auwahi Wind Energy Hybrid,HI,Maui,AWEB,OP,Batteries,BA,IPP Non-CHP,2,11.0,11.0,11.0,12,2012,4.4,11,11,LIB,,,,5.4,CS,,Y,,PR,,,,,,,,,,,,N, ,, ,, ,,Y
803,Arizona Public Service Co,57997,Foothills Solar Plant Hybrid,AZ,Yuma,FH38M,OP,Batteries,BA,Electric Utility,1,35.0,35.0,35.0,4,2023,105,35,35,LIB,,,,11.5,CS,,,Y,,,,PR,,,,Y,Y,,,,Y,57997,PV1,57991,PV2, ,,N
58195,Hoag Memorial Presbyterian Hospital,58223,Hoag Hospital Cogen Plant,CA,Orange,TESLA,OP,Batteries,BA,Commercial CHP,5,1.0,1.0,1.0,1,2020,4.2,1,1,LIB,,,,1,CS,,,,,,,PR,,,,,,,,,N, ,, ,, ,,N
9417,Interstate Power and Light Co,58236,Marshalltown Generating Station,IA,Marshall,BESS1,OP,Batteries,BA,Electric Utility,1,0.3,0.3,0.3,10,2020,0.6,0.3,0.3,LIB,,,,0.1,CS,,,,,Y,,,PR,,,Y,Y,,,,Y,58236,PV1, ,, ,,N
803,Arizona Public Service Co,58383,Hyder II Hybrid,AZ,Yuma,H214M,OP,Batteries,BA,Electric Utility,1,14.0,14.0,14.0,4,2023,42,14,14,LIB,,,,4.6,CS,,,Y,,,,PR,,,,Y,Y,,,,Y,58383,PV1, ,, ,,N
10433,Kodiak Electric Assn Inc,58405,ESS Battery Microgrid,AK,Kodiak Island,1,OP,Batteries,BA,Electric Utility,1,3.0,3.0,3.0,11,2012,3,3,3,LIB,,,,3,CS,,PR,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,N,57187,1,57187,2, ,,N
58451,"McCoy Solar, LLC",58462,McCoy Solar Energy Project Hybrid,CA,Riverside,MCST1,OP,Batteries,BA,IPP Non-CHP,2,230.0,230.0,230.0,7,2021,920,230,230,LIB,,,,250.4,CS,Y,PR,,Y,,,,Y,Y,,Y,Y,,,,N,58462,1,58462,BLK2,58462,BLK3,N
58544,Sierra Nevada Brewing Co,58585,Sierra Nevada Brewing Co Hybrid,CA,Butte,BESS,OP,Batteries,BA,Industrial CHP,7,0.5,0.5,0.5,2,2017,1,0.5,0.5,LIB,,,,0.5,CS,,,,,,,PR,,,,,,,,,N, ,, ,, ,,N
15473,Public Service Co of NM,58899,Prosperity Energy Storage Facility Hybri,NM,Bernalillo,GEN-2,OP,Batteries,BA,Electric Utility,1,0.8,0.8,0.8,9,2011,1.3,0.5,0.5,PBB,,,,0.8,CS,Y,,,,,,PR,Y,,,Y,,,,,N, ,, ,, ,,N
803,Arizona Public Service Co,59020,Gila Bend Hybrid,AZ,Maricopa,GB36M,OP,Batteries,BA,Electric Utility,1,32.0,32.0,32.0,4,2023,96,32,32,LIB,,,,5.3,CS,,,Y,,,,PR,,,,Y,Y,,,,Y,59020,PV1, ,, ,,N
58939,Cameron Wind 1 LLC,59118,Cameron Wind 1 LLC,TX,Cameron,SABAL,OP,Batteries,BA,IPP Non-CHP,2,16.4,16.4,16.4,3,2024,32.8,16.4,16.4,LIB,,,,6,CS,PR,Y,,Y,,,,,,,,,,,,N, ,, ,, ,,Y
61944,MN8 Energy LLC,59150,RE Mustang LLC,CA,Kings,BESS1,OP,Batteries,BA,IPP Non-CHP,2,75.0,75.0,75.0,10,2021,75,75,75,LIB,,,,75,CS,PR,Y,,,,,,,Y,,Y,Y,,,,Y,59150,PV1, ,, ,,N
59098,"Northwest Ohio Wind, LLC",59296,Northwest Ohio Wind,OH,Paulding,NWO-B,OP,Batteries,BA,IPP Non-CHP,2,0.8,0.8,0.8,3,2021,3.4,0.2,0.2,LIB,,,,1,CS,Y,,,,Y,,Y,Y,,,PR,,,Y,,N,59296,NWO-S, ,, ,,N
803,Arizona Public Service Co,59444,Desert Star Hybrid,AZ,Maricopa,DS10M,OP,Batteries,BA,Electric Utility,1,10.0,10.0,10.0,2,2023,30,10,10,LIB,,,,3.3,CS,,,Y,,,,PR,,,,Y,Y,,,,Y,59444,PV1, ,, ,,N
10000,Evergy Metro,59772,KCP&L SmartGrid Innovation Park,MO,Jackson,1,OS,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,6,2012,1,1,1,LIB,,,,1.3,CS,,,,,,,PR,,,,,,,,,N, ,, ,, ,,N
59598,Tooele Army Depot,59817,Tooele Army Depot(CSG),UT,Tooele,BATT1,OS,Batteries,BA,IPP Non-CHP,2,1.0,1.0,1.0,10,2020,1,1,1,LIB,,,,0.6,CS,,,,,,,PR,,,,Y,,,,,N, ,, ,, ,,Y
59656,Desert Quartzite LLC,59871,Desert Quartzite,CA,Riverside,GEN02,OP,Batteries,BA,IPP Non-CHP,2,150.0,150.0,150.0,12,2024,150,150,150,LIB,,,,49.3,CS,,,,,PR,,,,,,Y,Y,,,,Y,59871,GEN01, ,, ,,N
17650,Southern Power Co,59939,RE Tranquillity,CA,Fresno,BESS1,OP,Batteries,BA,IPP Non-CHP,2,37.0,37.0,37.0,11,2021,128,32,32,LIB,,,,10.5,CS,,Y,,Y,,,,Y,PR,,Y,,Y,,,Y,59939,TQ, ,, ,,N
17650,Southern Power Co,59939,RE Tranquillity,CA,Fresno,BESS2,OP,Batteries,BA,IPP Non-CHP,2,35.0,35.0,35.0,3,2022,160,35,35,LIB,,,,13.2,CS,,Y,,Y,,,,Y,PR,,Y,,Y,,,N,59939,TQ, ,, ,,N
49893,Invenergy Services LLC,59957,Grand Ridge Battery Projects,IL,LaSalle,GIVB,OP,Batteries,BA,IPP Non-CHP,2,4.5,4.5,4.5,12,2013,1,1.5,1.5,LIB,,,,0.5,CT,,Y,,,,,,,PR,,,,Y,,,N,57912,1, ,, ,,Y
49893,Invenergy Services LLC,59957,Grand Ridge Battery Projects,IL,LaSalle,GRES,OP,Batteries,BA,IPP Non-CHP,2,31.5,31.5,31.5,3,2015,12.5,31.5,31.5,LIB,,,,0.5,CT,,Y,,,,,,,PR,,,,Y,,,N, ,, ,, ,,Y
6452,Florida Power & Light Co,59993,Babcock Solar Energy Center Hybrid,FL,Charlotte,BA,OP,Batteries,BA,Electric Utility,1,10.0,10.0,10.0,3,2018,40,10,10,LIB,,,,7,CS,,,,,Y,,PR,Y,,,Y,Y,,,,Y,59993,1, ,, ,,Y
6452,Florida Power & Light Co,60014,Manatee Solar Energy Center,FL,Manatee,BMS,OP,Batteries,BA,Electric Utility,1,409.0,409.0,409.0,11,2021,900,74.5,409,LIB,,,,134,CS,,Y,,Y,,,PR,,,,Y,Y,,,,Y,60014,1, ,, ,,Y
17470,PUD No 1 of Snohomish County,60016,MESA 1,WA,Snohomish,A,OS,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,7,2015,0.5,1,1,LIB,,,,0.9,CS,Y,,,,,,PR,Y,,,,,,,,N, ,, ,, ,,N
17470,PUD No 1 of Snohomish County,60016,MESA 1,WA,Snohomish,B,OS,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,2,2016,0.5,1,1,LIB,,,,0.9,CS,Y,,,,,,PR,Y,,,,,,,,N, ,, ,, ,,N
6452,Florida Power & Light Co,60061,Citrus Solar Energy Center Hybrid,FL,DeSoto,BA,OP,Batteries,BA,Electric Utility,1,4.0,4.0,4.0,3,2018,16,4,4,LIB,,,,16,CS,,,,,PR,,,,,,Y,,,Y,,Y,60061,1, ,, ,,Y
59843,"Blythe Solar II, LLC",60092,"Blythe Solar II, LLC",CA,Riverside,BLST2,OP,Batteries,BA,IPP Non-CHP,2,115.0,115.0,115.0,3,2021,538.6,115,115,LIB,,,,126.9,CS,Y,PR,,Y,,,,Y,Y,,Y,Y,,,,Y,60092,BLCK4,60092,BLCK5,60092,BLCK6,N
59842,"Blythe Solar 110, LLC",60093,"Blythe Solar 110, LLC",CA,Riverside,BES1,OP,Batteries,BA,IPP Non-CHP,2,63.0,63.0,63.0,6,2021,301.2,63,63,LIB,,,,68.6,CS,Y,PR,,Y,,,,Y,Y,,Y,Y,,,,N, ,, ,, ,,N
59844,"Blythe Solar III, LLC",60094,"Blythe Solar III, LLC Hybrid",CA,Riverside,BLST3,OP,Batteries,BA,IPP Non-CHP,2,115.0,115.0,115.0,5,2021,538.6,115,115,LIB,,,,126.9,CS,Y,PR,,Y,,,,Y,Y,,Y,Y,,,,N, ,, ,, ,,N
59845,"Blythe Solar IV, LLC",60095,"Blythe Solar IV, LLC",CA,Riverside,BLST4,OP,Batteries,BA,IPP Non-CHP,2,47.0,47.0,47.0,10,2022,47,4.2,11.7,LIB,,,,41.3,CS,,PR,,,,,,Y,,,Y,Y,,,,N, ,, ,, ,,N
61123,Upton County Solar 2 LLC,60123,Castle Gap Solar Hybrid,TX,Upton,BAT1,OP,Batteries,BA,IPP Non-CHP,2,9.9,9.9,9.9,6,2019,42,9.9,9.9,LIB,,,,4.8,CS,,Y,PR,,,,,,,,Y,Y,,,,Y,60123,CGAP, ,, ,,N
57313,Tesla Inc.,60231,Genentech-Oceanside Hybrid,CA,San Diego,BA1,OP,Batteries,BA,IPP Non-CHP,2,2.0,2.0,2.0,4,2016,2,1,1,LIB,,,,1,CS,,,,,,,,Y,,Y,PR,Y,,,,Y,60231,PV1, ,, ,,N
17650,Southern Power Co,60233,RE Garland,CA,Kern,BESS1,OP,Batteries,BA,IPP Non-CHP,2,45.0,45.0,45.0,8,2021,176,44,44,LIB,,,,14.5,CS,,Y,,Y,,,,Y,PR,,Y,,Y,,,Y,60233,PV2, ,, ,,N
17650,Southern Power Co,60233,RE Garland,CA,Kern,BESS2,OP,Batteries,BA,IPP Non-CHP,2,43.0,43.0,43.0,12,2021,176,43,43,LIB,,,,14.5,CS,,Y,,Y,,,,Y,PR,,Y,,Y,,,N,60233,PV2, ,, ,,N
60038,Silicon Valley Clean Water,60249,Silicon Valley Clean Water,CA,San Mateo,BES,OP,Batteries,BA,IPP CHP,3,1.0,1.0,1.0,11,2020,2,1,1,LIB,,,,1,CS,,,,,,,PR,,,,,,,,,N, ,, ,, ,,N
60094,"Clinton Battery Utility, LLC",60297,Clinton Battery,OH,Clinton,1,OP,Batteries,BA,IPP Non-CHP,2,10.0,5.0,5.0,10,2016,4.1,5,5,LIB,,,,3.2,CS,,PR,,,,,,,,,,,,,,N, ,, ,, ,,N
66123,Summit Ridge Energy,60299,HMV Minster Energy Storage System,OH,Auglaize,MIN02,OS,Batteries,BA,IPP Non-CHP,2,7.0,7.0,7.0,3,2016,7,7,7,LIB,,,,5.3,CS,,PR,,,,,,Y,Y,,,,,,,N, ,, ,, ,,N
5248,Dominion Energy Inc.,60316,Scott Solar Farm,VA,Powhatan,SCBS,OP,Batteries,BA,Electric Utility,1,40.0,40.0,40.0,12,2022,48,10,2,LIB,,,,3.3,CS,,,,Y,,,,,,,PR,Y,,,,Y,60316,1, ,, ,,N
49893,Invenergy Services LLC,60390,Beech Ridge Energy Storage,WV,Greenbrier,BRES,OP,Batteries,BA,IPP Non-CHP,2,31.5,31.5,31.5,10,2015,12.5,31.5,31.5,LIB,,,,0.5,CT,,Y,,,,,,,PR,,,,Y,,,Y,57151,1, ,, ,,Y
15500,Puget Sound Energy Inc,60444,Glacier Battery Storage,WA,Whatcom,GLA,OP,Batteries,BA,Electric Utility,1,2.0,2.0,2.0,9,2016,4.4,2,2,LIB,,,,2,CT,Y,Y,Y,Y,,,Y,,,PR,,,,,,N, ,, ,, ,,N
