transformer_id,substation_id,from_bus_id,to_bus_id,from_kv,to_kv,rating_mva
102,856,957,958,345,115,116.652
103,857,959,960,345,115,155.784
104,860,963,964,345,115,163.03920000000002
105,861,965,966,345,115,137.7
106,862,967,968,345,115,255.6144
107,865,971,972,345,115,255.1584
108,869,976,977,345,115,121.23119999999999
109,871,979,980,345,115,156.2496
110,877,986,987,345,115,156.2592
111,878,988,989,345,115,131.8032
112,881,992,993,345,115,83.24879999999999
113,882,994,995,345,115,406.78080000000006
114,897,1010,1011,345,115,118.4328
115,898,1012,1013,345,115,138.81359999999998
116,904,1019,1020,345,115,153.2448
117,907,1023,1024,345,115,56.020799999999994
118,926,1043,1044,345,115,155.0136
119,928,1046,1047,345,115,796.0488
120,930,1049,1050,345,115,130.6584
121,931,1051,1052,345,115,150.3528
122,934,1055,1056,345,115,793.5767999999999
123,935,1057,1058,345,115,151.524
124,936,1059,1060,345,115,150.852
125,941,1065,1066,345,115,258.01439999999997
126,954,1079,1080,345,115,451.59839999999997
127,975,1101,1102,345,115,381.2616
128,976,1103,1104,345,115,50.0
129,977,1105,1106,345,115,126.45599999999999
130,983,1112,1113,345,115,158.7864
131,997,1127,1128,345,115,50.0
132,998,1129,1130,345,115,720.3504
133,1005,1137,1138,345,115,272.1072
134,1007,1140,1141,345,115,143.112
135,1034,1168,1169,345,115,131.1552
136,1040,1175,1176,345,115,147.8784
137,1055,1191,1192,345,115,153.0696
138,1077,1214,1215,345,115,141.5112
139,1079,1217,1218,345,115,107.064
140,1095,1234,1235,345,115,1372.416
141,1102,1242,1243,345,115,50.0
142,1151,1292,1293,345,115,456.3504
143,1154,1296,1297,345,115,107.80319999999999
144,1158,1301,1302,345,115,50.0
145,1162,1306,1307,345,115,77.0784
146,1166,1311,1312,345,115,120.5928
147,1172,1318,1319,345,115,76.7472
148,1173,1320,1321,345,115,62.7528
149,1179,1327,1328,345,115,50.0
150,1190,1339,1340,345,115,50.0
151,1192,1342,1343,345,115,50.0
152,1202,1353,1354,345,115,152.2728
153,1211,1363,1364,345,115,651.7991999999999
154,1226,1379,1380,345,115,448.49279999999993
155,1232,1386,1387,345,115,163.95360000000002
156,1238,1393,1394,345,115,130.3104
157,1239,1395,1396,345,115,70.8192
158,1246,1403,1404,345,115,161.09759999999997
159,1250,1408,1409,345,115,111.61200000000001
160,1251,1410,1411,345,115,11103.839999999998
161,1252,1412,1413,345,115,6551.4
162,1253,1414,1415,345,115,6550.919999999999
163,1254,1416,1417,345,115,6471.959999999999
164,1255,1418,1419,345,115,4587.96
165,1256,1420,1421,345,115,3974.8800000000006
166,1257,1422,1423,345,115,3776.16
167,1258,1424,1425,345,115,3484.4399999999996
168,1259,1426,1427,345,115,3249.0000000000005
169,1260,1428,1429,345,115,3080.8799999999997
170,1261,1430,1431,345,115,2963.28
171,1262,1432,1433,345,115,2659.56
172,1263,1434,1435,345,115,2487.6
173,1264,1436,1437,345,115,2207.16
174,1265,1438,1439,345,115,1941.6
175,1266,1440,1441,345,115,1803.7199999999998
176,1267,1442,1443,345,115,1766.3999999999999
177,1268,1444,1445,345,115,1640.28
178,1269,1446,1447,345,115,1640.04
179,1271,1449,1450,345,115,1406.16
180,1272,1451,1452,345,115,1257.36
181,1273,1453,1454,345,115,1251.36
182,1274,1455,1456,345,115,1115.04
183,1276,1458,1459,345,115,946.5600000000001
184,1277,1460,1461,345,115,902.4
185,1278,1462,1463,345,115,790.92
186,1279,1464,1465,345,115,750.0
187,1280,1466,1467,345,115,739.08
188,1282,1469,1470,345,115,705.6
189,1283,1471,1472,345,115,674.52
190,1284,1473,1474,345,115,592.8
191,1286,1476,1477,345,115,544.32
192,1287,1478,1479,345,115,536.64
193,1288,1480,1481,345,115,518.88
194,1289,1482,1483,345,115,486.96
195,1291,1485,1486,345,115,384.0
196,1292,1487,1488,345,115,321.84
197,1297,1493,1494,345,115,228.0
