ercot_substation,lat,lon,match_source,confidence,score,matched_name,load_zone,max_voltage_kv,eia_plant_code,osm_id,propagated_from,mora_county,mora_fuel,county_validated,county_dist_km,gnis_class,gnis_county,psse_readable,hv_osm_345_id,hv_endpoint_dist_km,original_match_source,original_confidence,snap_distance_km,snap_status,snap_rule,snap_candidate_name,snap_candidate_kv
ABWALNUT,31.0,-102.5,lz_centroid,none,0,,LZ_WEST,69.0,,,,,,,,,,,,,,,,,,,
ACACIA,29.592902,-104.334473,osm,high,100,Acacia Substation,LZ_WEST,69.0,,503420903,,PRESIDIO,,True,1.3,,,,,,,,,,,,
ACH,33.393056,-95.146667,propagated,low,0,,LZ_HOUSTON,138.0,,,RVR,,,,,,,,,,,,,,,,
ACKRLY,32.594526,-101.78803,osm,high,98.3,Ackerly Substation,LZ_WEST,138.0,,458726857,,,,,,,,,,,,,,,,,
ACRLY,32.526499,-101.71597,gnis,high,100.0,Ackerly,LZ_WEST,69.0,,,,,,,,Populated Place,DAWSON,ACKERLY,,,,,,,,,
ACSSW,31.0,-102.5,lz_centroid,none,0,,LZ_WEST,138.0,,,,,,,,,,,,,,,,,,,
ACT,32.446806,-97.690304,gnis,high,100.0,Acton,LZ_NORTH,138.0,,,FLATROCK,,,,,Populated Place,HOOD,ACTON,,,,,,,,,
AD,29.932445,-95.380215,gnis,high,100.0,Aldine,LZ_HOUSTON,138.0,,,PT,,,,,Populated Place,HARRIS,ALDINE,,,,,,,,,
ADAMSV,30.934615,-100.264809,gnis,high,92.6,Adams,LZ_NORTH,138.0,,,MACEDO,,,,,Populated Place,SCHLEICHER,ADAMSV,,,,,,,,,
ADERHOLD,26.304224,-98.083955,osm,high,100,Aderhold Substation,LZ_SOUTH,138.0,,513155601,,,,,,,,,,,,,,,,,
ADISN,33.5,-97.0,lz_centroid,none,0,,LZ_NORTH,138.0,,,,,,,,,,,,,,,,,,,
ADK,29.822302792307692,-95.57257483076923,hv_osm_345,high,93.5,Addicks Substation,LZ_HOUSTON,345.0,,126444901,DOW,,,,,,,,126444901,,,,,,,,
ADL,29.271,-98.456,propagated,low,0,,LZ_HOUSTON,138.0,,,BEXAR_ES,,,,,,,,,,,,,,,,
ADMDS,32.865417,-97.099401,propagated,low,0,,LZ_WEST,138.0,,,EULES,,,,,,,,,,,,,,,,
ADVANCE,30.384126,-97.90037,propagated,low,0,,LZ_SOUTH,138.0,,,HIDDENVL,,,,,,,,,,,,,,,,
ADVANCE1,32.941234,-97.92726,gnis,high,100.0,Advance,LZ_NORTH,69.0,,,RAILHEAD,,,,,Populated Place,PARKER,ADVANCE,,,,,,,,,
AE,29.167065,-95.440647,snap_mora_eia860,medium,90.5,Angleton,LZ_HOUSTON,138.0,64295,1340873336,PT,BRAZORIA,STORAGE,,,,,,,,mora_eia860,medium,0.564,auto,same_lz_nearest_osm_le_1km,,138.0
AEEC,33.865634,-101.842701,mora_osm,medium,83.2,Antelope Station Switchyard,LZ_WEST,345.0,,168061176,LASSO,HALE,GAS-IC,,,,,,,,,,,,,,
AF,29.711064,-95.596334,gnis,high,100.0,Alief,LZ_HOUSTON,138.0,,,LK,,,,,Populated Place,HARRIS,ALIEF,,,,,,,,,
AFTON,33.733852,-100.841846,osm,high,100,Afton Substation,LZ_WEST,69.0,,468792515,,,,,,,,,,,,,,,,,
AGLPD,31.901515,-103.962422,gnis,medium,86.6,Angeles,LZ_WEST,138.0,,,STARR,,,,,Populated Place,REEVES,ANGEL,,,,,,,,,
AGNES,32.979289,-97.788642,gnis,high,100.0,Agnes,LZ_NORTH,138.0,,,,,,,,Populated Place,PARKER,AGNES,,,,,,,,,
AGUAYO,31.95206,-97.864845,hv_endpoint,low,0,,LZ_NORTH,345.0,,,GATESVL2,,,,,,,,,50.8,,,,,,,
AI,31.4647,-96.985,propagated,low,0,,LZ_HOUSTON,138.0,,,LK,,,,,,,,,,,,,,,,
AILEEN,31.0,-102.5,lz_centroid,none,0,,LZ_WEST,138.0,,,,,,,,,,,,,,,,,,,
AIRCO,32.241111,-97.071389,propagated,low,0,,LZ_NORTH,138.0,,,HILL_CO,,,,,,,,,,,,,,,,
AIRLINE,27.695512,-97.373905,osm,high,100,Airline Substation,LZ_SOUTH,138.0,,203655558,,,,,,,,,,,,,,,,,
AIRP,31.593316,-100.178079,propagated,low,0,,LZ_WEST,69.0,,,MILES,,,,,,,,,,,,,,,,
AIRPK,31.0,-102.5,lz_centroid,none,0,,LZ_WEST,138.0,,,,,,,,,,,,,,,,,,,
AIRPORT,25.906271,-97.447351,osm,high,100,Airport Substation,LZ_SOUTH,138.0,,323184324,,,,,,,,,,,,,,,,,
AIRPRTRD,30.903038,-102.919327,osm,medium,87.8,Airport Substation,LZ_WEST,138.0,,502934795,,MITCHELL,,False,247.8,,,,,,,,,,,,
AIR_LIQC,27.814893,-97.477998,osm,medium,82.6,Air Liquide Substation,LZ_SOUTH,69.0,,488507977,,,,,,,,,,,,,,,,,
AJAXWIND,33.85245,-99.06509,mora_eia860,medium,83.7,"Western Trail Wind, LLC",LZ_WEST,345.0,64149,,HOLSTEIN,WILBARGER,WIND-O,,,,,,,,,,,,,,
AJO,27.091938,-97.774271,osm,high,100,Ajo Switching Station,LZ_SOUTH,345.0,,174713049,,,,,,,,,,,,,,,,,
AJ_SWOPE,35.313269,-102.05026,osm,high,100,AJ Swope Substation,LZ_WEST,345.0,,453589249,,,,,,,,,,,,,,,,,
AK,29.363674779999997,-94.92477044,cp_osm,high,100.0,Amoco Substation,LZ_HOUSTON,138.0,,338817753,HOLSTEIN,,,,,,,,,,,,,,,,
AL,29.571351,-96.454136,gnis,medium,84.0,Altair,LZ_HOUSTON,138.0,,,LK,,,,,Populated Place,COLORADO,ALTA,,,,,,,,,
ALAMO_ST,30.993056,-102.270833,eia860,medium,85.5,Alamo 6,LZ_WEST,138.0,59206,,,,,,,,,,,,,,,,,,
ALAZAN,27.559909,-97.502273,osm,high,100,Alazan Substation,LZ_SOUTH,138.0,,487230433,,,,,,,,,,,,,,,,,
ALBANY,32.723661,-99.292675,osm,high,100,Albany Substation,LZ_WEST,69.0,,518641181,,,,,,,,,,,,,,,,,
ALBERTA,26.250217,-98.135837,osm,high,100,Alberta Switching Station,LZ_SOUTH,138.0,,513155571,,,,,,,,,,,,,,,,,
ALBNY_FD,31.0,-102.5,lz_centroid,none,0,,LZ_WEST,69.0,,,,,,,,,,,,,,,,,,,
ALCAT,29.53742,-100.896089,propagated,low,0,,LZ_WEST,138.0,,,ROUGH,,,,,,,,,,,,,,,,
ALCOA,28.657449,-96.557824,osm,high,100,Alcoa Substation,LZ_SOUTH,138.0,,337764372,,,,,,,,,,,,,,,,,
ALCON,31.35213,-94.570484,gnis,high,91.0,Alco,LZ_NORTH,138.0,,,BEXAR_ES,,,,,Populated Place,ANGELINA,ALCON,,,,,,,,,
ALCORN,31.35213,-94.570484,gnis,medium,84.0,Alco,LZ_NORTH,69.0,,,ESPULA9,,,,,Populated Place,ANGELINA,ALCORN,,,,,,,,,
ALDTU,32.695964,-97.602247,gnis,high,100.0,Aledo,LZ_NORTH,138.0,,,JOLLYVIL,,,,,Populated Place,PARKER,ALEDO,,,,,,,,,
ALEDO,32.695964,-97.602247,gnis,high,100.0,Aledo,LZ_NORTH,138.0,,,AVIATOR,,,,,Populated Place,PARKER,ALEDO,,,,,,,,,
ALGODON,27.966408,-97.402215,gnis,medium,85.9,Algodon Colonia,LZ_SOUTH,345.0,,,BEXAR_ES,,,,,Populated Place,SAN PATRICIO,ALGODON,,,,,,,,,
ALHUB_RC,31.503698,-97.762643,propagated,low,0,,LZ_NORTH,138.0,,,GATESVL2,,,,,,,,,,,,,,,,
ALIBATES,35.255119,-101.360029,osm,high,100,Alibates Substation,LZ_WEST,345.0,,453589128,,,,,,,,,,,,,,,,,
ALICE,27.729767,-98.087382,osm,high,100.0,Alice Substation,LZ_SOUTH,69.0,,490190295,,,,,,,,,,,,,,,,,
ALIGNDCT,32.128234,-101.818895,propagated,low,0,,LZ_NORTH,138.0,,,TRIANGLE,,,,,,,,,,,,,,,,
ALIQUING,32.713595,-103.301752,propagated,low,0,,LZ_SOUTH,138.0,,,MADDUX,,,,,,,,,,,,,,,,
ALISN,35.60588,-100.100674,gnis,high,100.0,Allison,LZ_NORTH,138.0,,,WILLOW,,,,,Populated Place,WHEELER,ALLISON,,,,,,,,,
ALK,31.4647,-96.985,propagated,low,0,,LZ_HOUSTON,138.0,,,LK,,,,,,,,,,,,,,,,
ALKLK,32.211294,-101.818995,propagated,low,0,,LZ_WEST,138.0,,,STANT,,,,,,,,,,,,,,,,
ALLEN,33.060255,-96.699995,osm,high,100.0,Allen Switching Station,LZ_NORTH,138.0,,172032306,,,,,,,,,,,,,,,,,
ALLNC,33.060255,-96.699995,osm,medium,87.4,Allen Switching Station,LZ_NORTH,345.0,,172032306,,,,,,,,,,,,,,,,,
ALMC,28.9275,-99.0919,propagated,low,0,,LZ_WEST,138.0,,,PEARSALL,,,,,,,,,,,,,,,,
ALNSW,33.103174,-96.67055,gnis,medium,86.6,Allen,LZ_NORTH,345.0,,,EULES,,,,,Populated Place,COLLIN,ALLENSW,,,,,,,,,
ALNTH,33.103174,-96.67055,gnis,high,100.0,Allen,LZ_NORTH,138.0,,,LOMA_ALT,,,,,Populated Place,COLLIN,ALLEN,,,,,,,,,
ALN_CRK,32.196156,-100.022711,hv_endpoint,low,0,,LZ_WEST,345.0,,,BUFFALO,,,,,,,,,13.3,,,,,,,
ALOES,28.780348,-97.070299,osm,high,95.6,Aloe Substation,LZ_SOUTH,69.0,,515325950,,,,,,,,,,,,,,,,,
ALPHA,35.255119,-101.360029,propagated,low,0,,LZ_NORTH,138.0,,,ALIBATES,,,,,,,,,,,,,,,,
ALPHA_VA,26.167627,-98.097755,propagated,low,0,,LZ_SOUTH,138.0,,,ELGATO,,,,,,,,,,,,,,,,
ALPINE,30.355662,-103.663282,osm,high,100,Alpine Substation,LZ_WEST,69.0,,369957325,,,,,,,,,,,,,,,,,
ALPR,31.0,-102.5,lz_centroid,none,0,,LZ_WEST,69.0,,,,,,,,,,,,,,,,,,,
ALP_BESS,25.977182,-97.384493,propagated,low,0,,LZ_WEST,138.0,,,LOMA_ALT,,,,,,,,,,,,,,,,
ALTAIR,29.564375,-96.462393,osm,high,100,Altair Substation,LZ_SOUTH,69.0,,520305244,,,,,,,,,,,,,,,,,
ALTON_MV,26.269034,-98.292886,osm,high,95.4,Alton Substation,LZ_SOUTH,138.0,,512644942,,,,,,,,,,,,,,,,,
ALTUDA,30.235766,-103.438054,osm,high,100,Altuda Substation,LZ_WEST,69.0,,503331184,,,,,,,,,,,,,,,,,
ALUMCR,30.065903,-97.233044,osm,medium,84.1,Alum Creek Substation,LZ_SOUTH,138.0,,467847272,,,,,,,,,,,,,,,,,
ALVDO,32.396344,-97.223527,osm,medium,85.3,Alvarado Substation,LZ_NORTH,138.0,,342357912,,,,,,,,,,,,,,,,,
ALVIN,29.433245,-95.249367,snap_eia860,medium,100.0,Alvin,LZ_HOUSTON,138.0,64293,338305186,,BRAZORIA,,True,30.5,,,,,,eia860,high,0.029,auto,same_lz_nearest_osm_le_1km,Alvin Substation,138.0
ALVRD,32.396344,-97.223527,osm,medium,85.3,Alvarado Substation,LZ_NORTH,138.0,,342357912,,,,,,,,,,,,,,,,,
ALYNT,31.0,-102.5,lz_centroid,none,0,,LZ_WEST,69.0,,,,,,,,,,,,,,,,,,,
AM,29.604122,-95.417162,gnis,medium,84.0,Almeda,LZ_HOUSTON,138.0,,,LK,,,,,Populated Place,HARRIS,ALMEDA26T,,,,,,,,,
AMADEUS1,32.96736,-100.56428,eia860,high,94.6,Amadeus Wind Farm,LZ_WEST,345.0,62142,,,FISHER,,True,27.5,,,,,,,,,,,,
AMADEUS2,32.96736,-100.56428,eia860,high,94.6,Amadeus Wind Farm,LZ_WEST,345.0,62142,,,FISHER,,True,27.5,,,,,,,,,,,,
AMAD_ESS,32.96736,-100.56428,eia860,medium,83.6,Amadeus Wind Farm,LZ_NORTH,138.0,62142,,,,,,,,,,,,,,,,,,
AMBR,31.0,-102.5,lz_centroid,none,0,,LZ_WEST,69.0,,,,,,,,,,,,,,,,,,,
AMGAS,33.5,-97.0,lz_centroid,none,0,,LZ_NORTH,138.0,,,,,,,,,,,,,,,,,,,
AMISTAD,29.449827,-101.06011,eia860,medium,91.2,Amistad Dam & Power,LZ_SOUTH,138.0,6128,,,VAL VERDE,,True,25.7,,,,,,,,,,,,
AMISTD,30.509782,-98.20608,propagated,low,0,,LZ_SOUTH,138.0,,,FLATRO,,,,,,,,,,,,,,,,
AMLIA,33.5,-97.0,lz_centroid,none,0,,LZ_NORTH,138.0,,,,,,,,,,,,,,,,,,,
AMMFG,33.5,-97.0,lz_centroid,none,0,,LZ_NORTH,138.0,,,,,,,,,,,,,,,,,,,
AMOCO,31.649531,-100.865327,osm,high,100,Amoco Substation,LZ_WEST,69.0,,455566732,,,,,,,,,,,,,,,,,
AMOCOOIL,29.233882,-95.187062,osm,medium,85.7,Amoco Substation,LZ_HOUSTON,138.0,,338758518,,,,,,,,,,,,,,,,,
AMOCOTN,29.233882,-95.187062,osm,medium,91.0,Amoco Substation,LZ_HOUSTON,138.0,,338758518,,,,,,,,,,,,,,,,,
AMOSCR,28.956546,-96.646085,propagated,low,0,,LZ_WEST,345.0,,,EDNA,,,,,,,,,,,,,,,,
AN,30.752638,-95.225219,propagated,low,0,,LZ_HOUSTON,138.0,,,PT,,,,,,,,,,,,,,,,
ANACACHO,29.234722,-100.209167,eia860,high,92.0,"Anacacho Wind Farm, LLC",LZ_SOUTH,138.0,58000,,,KINNEY,,True,24.5,,,,,,,,,,,,
ANARN,33.485106,-98.66617,gnis,high,100.0,Anarene,LZ_WEST,69.0,,,,,,,,Populated Place,ARCHER,ANARENE,,,,,,,,,
ANASE,33.349001,-96.548599,gnis,medium,84.0,Anna,LZ_NORTH,138.0,,,TRIANGLE,,,,,Populated Place,COLLIN,ANNASE,,,,,,,,,
ANASW,33.349001,-96.548599,gnis,high,100.0,Anna,LZ_NORTH,345.0,,,FLAT_TOP,,,,,Populated Place,COLLIN,ANNA,,,,,,,,,
ANCHOR,32.117091,-100.155033,hv_endpoint,low,0,,LZ_NORTH,345.0,,,HOLSTEIN,,,,,,,,,1.6,,,,,,,
ANDICE,30.749038,-97.875943,osm,high,100,Andice Substation,LZ_SOUTH,138.0,,504783096,,,,,,,,,,,,,,,,,
ANDMDSLR,29.233882,-95.187062,propagated,low,0,,LZ_WEST,345.0,,,AMOCOOIL,,,,,,,,,,,,,,,,
ANDNR,30.559511,-98.337565,propagated,low,0,,LZ_WEST,138.0,,,WIRTZ,,,,,,,,,,,,,,,,
ANDRD,32.318716,-102.545716,gnis,high,100.0,Andrews,LZ_WEST,138.0,,,WIRTZ,,,,,Populated Place,ANDREWS,ANDREWS,,,,,,,,,
ANEM_ESS,32.166483,-101.881607,hv_endpoint,low,0,,LZ_SOUTH,345.0,,,BAKKE,,,,,,,,,63.6,,,,,,,
ANGLETON,29.167065,-95.440647,snap_eia860,medium,100.0,Angleton,LZ_HOUSTON,138.0,64295,338876675,,BRAZORIA,,True,7.2,,,,,,eia860,high,0.012,auto,same_lz_nearest_osm_le_1km,Angleton Substation,138.0
ANGORA,29.72753,-100.79431,propagated,low,0,,LZ_WEST,69.0,,,ROCKSPRS,,,,,,,,,,,,,,,,
ANGSTROM,28.739865,-98.023574,hv_endpoint,low,0,,LZ_SOUTH,345.0,,,,,,,,,,,,29.0,,,,,,,
ANGUS,30.400637,-97.777889,osm,medium,88.4,Angus Valley Substation,LZ_SOUTH,138.0,,206125708,,,,,,,,,,,,,,,,,
ANG_SLR,29.262221,-98.427356,hv_endpoint,low,0,,LZ_WEST,345.0,,,BEXAR_ES,,,,,,,,,2.9,,,,,,,
ANNA_RC,33.317929,-96.638887,osm,medium,89.2,Anna Substation,LZ_NORTH,138.0,,171686777,,,,,,,,,,,,,,,,,
ANNA_ST,32.104125,-100.162375,propagated,low,0,,LZ_SOUTH,138.0,,,HOLSTEIN,,,,,,,,,,,,,,,,
ANNETTA,32.709297,-97.676138,gnis,high,100.0,Annetta,LZ_NORTH,138.0,,,,,,,,Populated Place,PARKER,ANNETTA,,,,,,,,,
ANOL_ESS,32.815621,-97.025471,hv_endpoint,low,0,,LZ_NORTH,345.0,,,EULES,,,,,,,,,8.9,,,,,,,
ANPHL,33.520892,-101.973737,propagated,low,0,,LZ_WEST,138.0,,,UPLND,,,,,,,,,,,,,,,,
ANPOI,31.0,-102.5,lz_centroid,none,0,,LZ_WEST,138.0,,,,,,,,,,,,,,,,,,,
ANSN,32.758382,-99.891259,osm,high,95.4,Anson Substation,LZ_WEST,69.0,,517461607,,,,,,,,,,,,,,,,,
ANSO,32.758382,-99.891259,osm,high,95.6,Anson Substation,LZ_WEST,69.0,,517461607,,,,,,,,,,,,,,,,,
ANSON1,32.758382,-99.891259,osm,high,92.6,Anson Substation,LZ_WEST,345.0,,517461607,,JONES,,True,2.8,,,,,,,,,,,,
ANSON2,32.758382,-99.891259,osm,high,92.6,Anson Substation,LZ_WEST,345.0,,517461607,,JONES,,True,2.8,,,,,,,,,,,,
ANTLER,29.776829,-98.413361,osm,high,100,Antler Substation,LZ_SOUTH,138.0,,146626137,,,,,,,,,,,,,,,,,
ANTLR,26.523359,-99.017108,propagated,low,0,,LZ_NORTH,138.0,,,STARR,,,,,,,,,,,,,,,,
ANTL_ESS,29.271,-98.456,propagated,low,0,,LZ_SOUTH,138.0,,,BEXAR_ES,,,,,,,,,,,,,,,,
ANTSS_RC,26.523359,-99.017108,propagated,low,0,,LZ_NORTH,138.0,,,STARR,,,,,,,,,,,,,,,,
APACHE,29.378767,-94.947537,osm,high,100,Apache Substation,LZ_HOUSTON,138.0,,338794653,,,,,,,,,,,,,,,,,
APOGEE,29.233882,-95.187062,propagated,low,0,,LZ_WEST,345.0,,,AMOCOOIL,,,,,,,,,,,,,,,,
APOLLO,32.953915,-96.677248,osm,high,100,Apollo Substation,LZ_NORTH,138.0,,284553655,,,,,,,,,,,,,,,,,
APPALOSA,31.157269,-101.831603,mora_eia860,high,95.8,Appaloosa Run Wind,LZ_WEST,138.0,65335,,BEXAR_ES,UPTON,WIND-O,,,,,,,,,,,,,,
APPLE,31.740751,-102.213176,propagated,low,0,,LZ_WEST,138.0,,,PEGAS,,,,,,,,,,,,,,,,
APTXCITY,35.093889,-101.326111,propagated,low,0,,LZ_HOUSTON,138.0,,,GOODNIT1,,,,,,,,,,,,,,,,
AQDCT,32.128234,-101.818895,propagated,low,0,,LZ_WEST,138.0,,,TRIANGLE,,,,,,,,,,,,,,,,
AQUILLA,31.851548,-97.218063,gnis,high,100.0,Aquilla,LZ_NORTH,345.0,,,BEXAR_ES,,,,,Populated Place,HILL,AQUILLA,,,,,,,,,
AR,29.49607,-95.465776,gnis,high,100.0,Arcola,LZ_HOUSTON,138.0,,,LK,,,,,Populated Place,FORT BEND,ARCOLA,,,,,,,,,
ARAGORN,31.719983,-104.442292,snap_eia860,medium,85.9,Aragorn Solar Project,LZ_WEST,138.0,63329,1202669863,,CULBERSON,,True,18.1,,,,,,eia860,medium,0.122,auto,same_lz_nearest_osm_le_1km,,138.0
ARANSASP,27.927092,-97.181908,osm,medium,88.2,Aransas Pass Substation,LZ_SOUTH,138.0,,514740534,,,,,,,,,,,,,,,,,
ARC,29.8,-95.3,lz_centroid,none,0,,LZ_HOUSTON,138.0,,,,,,,,,,,,,,,,,,,
ARCADIA,27.745716,-97.421778,osm,high,100,Arcadia Substation,LZ_SOUTH,138.0,,371318816,,,,,,,,,,,,,,,,,
ARCO,26.22939,-98.008742,propagated,low,0,,LZ_NORTH,138.0,,,WESLACO,,,,,,,,,,,,,,,,
ARCOPL,29.348213,-94.93945,osm,medium,88.2,ARCO Substation,LZ_HOUSTON,69.0,,583928763,,,,,,,,,,,,,,,,,
ARCO__,31.440623,-102.459118,osm,high,100,Arco Substation,LZ_WEST,138.0,,499938049,,,,,,,,,,,,,,,,,
ARETP,28.197778,-97.444953,propagated,low,0,,LZ_WEST,138.0,,,CRANELL,,,,,,,,,,,,,,,,
ARGENTA,28.170008,-97.847222,gnis,high,100.0,Argenta,LZ_SOUTH,69.0,,,,,,,,Populated Place,LIVE OAK,ARGENTA,,,,,,,,,
ARGYL,33.121232,-97.183347,gnis,high,100.0,Argyle,LZ_NORTH,138.0,,,EULES,,,,,Populated Place,DENTON,ARGYLE,,,,,,,,,
ARLNG,29.271,-98.456,propagated,low,0,,LZ_NORTH,138.0,,,BEXAR_ES,,,,,,,,,,,,,,,,
ARLQD,31.08298,-102.393733,propagated,low,0,,LZ_NORTH,138.0,,,SOAPTREE,,,,,,,,,,,,,,,,
ARLQE,33.5,-97.0,lz_centroid,none,0,,LZ_NORTH,138.0,,,,,,,,,,,,,,,,,,,
ARM,30.645131,-98.258172,propagated,low,0,,LZ_HOUSTON,138.0,,,FAIRLA,,,,,,,,,,,,,,,,
ARMDL02,35.40238,-101.15404,propagated,low,0,,LZ_WEST,69.0,,,RAILHEAD,,,,,,,,,,,,,,,,
ARMST,33.5,-97.0,lz_centroid,none,0,,LZ_NORTH,138.0,,,,,,,,,,,,,,,,,,,
ARMSTRON,26.927215,-97.789684,osm,high,100.0,Armstrong Substation,LZ_SOUTH,138.0,,513693626,,,,,,,,,,,,,,,,,
AROWHEAD,31.286739,-96.877205,propagated,low,0,,LZ_WEST,138.0,,,MARION,,,,,,,,,,,,,,,,
ARPCM,32.865417,-97.099401,propagated,low,0,,LZ_NORTH,69.0,,,EULES,,,,,,,,,,,,,,,,
ARPMN,32.225433,-95.057721,gnis,high,100.0,Arp,LZ_NORTH,69.0,,,,,,,,Populated Place,SMITH,ARP,,,,,,,,,
ARPRD,33.5,-97.0,lz_centroid,none,0,,LZ_NORTH,138.0,,,,,,,,,,,,,,,,,,,
ARROTT,31.073616,-100.509679,osm,high,97.3,Arrot Substation,LZ_WEST,69.0,,346768837,,,,,,,,,,,,,,,,,
ARROWHD,35.105558,-101.81344,osm,medium,89.9,Arrowhead Substation,LZ_WEST,138.0,,174868349,,,,,,,,,,,,,,,,,
ARROWHDC,35.105558,-101.81344,osm,medium,85.6,Arrowhead Substation,LZ_WEST,138.0,,174868349,,,,,,,,,,,,,,,,,
ARROWHDP,35.105558,-101.81344,osm,medium,85.6,Arrowhead Substation,LZ_WEST,138.0,,174868349,,,,,,,,,,,,,,,,,
ARROZ,29.0,-98.0,lz_centroid,none,0,,LZ_SOUTH,138.0,,,,,,,,,,,,,,,,,,,
ARTHR,31.0,-102.5,lz_centroid,none,0,,LZ_WEST,138.0,,,,,,,,,,,,,,,,,,,
ARYSW,34.769544,-102.052422,propagated,low,0,,LZ_WEST,138.0,,,ASTRA,,,,,,,,,,,,,,,,
ARY_BESS,29.262221,-98.427356,hv_endpoint,low,0,,LZ_SOUTH,345.0,,,BEXAR_ES,,,,,,,,,2.9,,,,,,,
ASCK_SLR,32.295946,-102.54,propagated,low,0,,LZ_NORTH,345.0,,,BAKKE,,,,,,,,,,,,,,,,
ASHERTON,28.441932,-99.760329,gnis,high,100.0,Asherton,LZ_SOUTH,138.0,,,LOYOLA,,,,,Populated Place,DIMMIT,ASHERTON,,,,,,,,,
ASHPD,26.523359,-99.017108,propagated,low,0,,LZ_WEST,138.0,,,STARR,,,,,,,,,,,,,,,,
ASHSW,33.048156,-97.034996,propagated,low,0,,LZ_NORTH,138.0,,,WEAST,,,,,,,,,,,,,,,,
ASHWDS,29.10414,-95.871343,gnis,medium,81.1,Ashwood,LZ_SOUTH,138.0,,,GOODNIT1,,,,,Populated Place,MATAGORDA,ASHWDS,,,,,,,,,
ASPERM9,33.177995,-100.233435,osm,medium,83.6,Aspermont Substation,LZ_WEST,69.0,,519749909,,,,,,,,,,,,,,,,,
ASPHALT,29.188137,-100.024164,osm,high,92.6,Asphalt Mines Substation,LZ_SOUTH,138.0,,343343386,,,,,,,,,,,,,,,,,
ASPIRE,32.196156,-100.022711,hv_endpoint,low,0,,LZ_NORTH,345.0,,,BUFFALO,,,,,,,,,13.3,,,,,,,
ASPM,29.72753,-100.79431,propagated,low,0,,LZ_WEST,138.0,,,ROCKSPRS,,,,,,,,,,,,,,,,
ASTRA,34.769544,-102.052422,eia860,high,100.0,Astra Wind Farm,LZ_WEST,345.0,60856,,,RANDALL,,True,0.0,,,,,,,,,,,,
AT,30.091881,-94.7627,gnis,medium,80.1,Atascosito,LZ_HOUSTON,138.0,,,LK,,,,,Populated Place,LIBERTY,ATASCO,,,,,,,,,
